CODE	SCHEME	TYPE	BUCKET	COUNTING
357.81	ICD9	dx	CIDP	CLAIM
G61.81	ICD10	dx	CIDP	CLAIM
279.00	ICD9	dx	PIDD	CLAIM
279.01	ICD9	dx	PIDD	CLAIM
279.02	ICD9	dx	PIDD	CLAIM
279.03	ICD9	dx	PIDD	CLAIM
279.04	ICD9	dx	PIDD	CLAIM
279.05	ICD9	dx	PIDD	CLAIM
279.06	ICD9	dx	PIDD	CLAIM
279.09	ICD9	dx	PIDD	CLAIM
279.10	ICD9	dx	PIDD	CLAIM
279.12	ICD9	dx	PIDD	CLAIM
279.2	ICD9	dx	PIDD	CLAIM
279.3	ICD9	dx	PIDD	CLAIM
D80.1	ICD10	dx	PIDD	CLAIM
D80.2	ICD10	dx	PIDD	CLAIM
D80.4	ICD10	dx	PIDD	CLAIM
D80.3	ICD10	dx	PIDD	CLAIM
D80.0	ICD10	dx	PIDD	CLAIM
D80.5	ICD10	dx	PIDD	CLAIM
D83.0	ICD10	dx	PIDD	CLAIM
D83.2	ICD10	dx	PIDD	CLAIM
D83.8	ICD10	dx	PIDD	CLAIM
D83.9	ICD10	dx	PIDD	CLAIM
D80.7	ICD10	dx	PIDD	CLAIM
D83.1	ICD10	dx	PIDD	CLAIM
D82.0	ICD10	dx	PIDD	CLAIM
D81.0	ICD10	dx	PIDD	CLAIM
D81.1	ICD10	dx	PIDD	CLAIM
D81.2	ICD10	dx	PIDD	CLAIM
D81.6	ICD10	dx	PIDD	CLAIM
D81.7	ICD10	dx	PIDD	CLAIM
D81.89	ICD10	dx	PIDD	CLAIM
D81.9	ICD10	dx	PIDD	CLAIM
D84.8	ICD10	dx	PIDD	CLAIM
D84.9	ICD10	dx	PIDD	CLAIM
J1459	HCPCS	px	PRIVIGEN	CLAIM
J1557	HCPCS	px	OTHER_IG	CLAIM
J1559	HCPCS	px	HIZENTRA_HYQVIA	CLAIM
J1561	HCPCS	px	GAMUNEX	CLAIM
J1566	HCPCS	px	OTHER_IG	CLAIM
J1568	HCPCS	px	OTHER_IG	CLAIM
J1569	HCPCS	px	GAMMAGARD	CLAIM
J1572	HCPCS	px	FLEBOGAMMA	CLAIM
J1575	HCPCS	px	HIZENTRA_HYQVIA	CLAIM
J1555	HCPCS	px	CUVITRU	CLAIM
J1559	HCPCS	px	HIZENTRA	CLAIM
J1575	HCPCS	px	HYQVIA_CUVITRU	CLAIM
J1555	HCPCS	px	HYQVIA_CUVITRU	CLAIM
J1575	HCPCS	px	HIZENTRA_HYQVIA_CUVITRU	CLAIM
J1555	HCPCS	px	HIZENTRA_HYQVIA_CUVITRU	CLAIM
J1559	HCPCS	px	HIZENTRA_HYQVIA_CUVITRU	CLAIM
