IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1003490001	1518184936	POJ0JGR6	127	1740467000	PO65UMU5	127
1003490001	1518184936	POJ0JGR6	127	1699952432	PO2W4KD7	127
1003490001	1740467000	PO65UMU5	127	1699952432	PO2W4KD7	127
1003490001	1740467000	PO65UMU5	127	1518184936	POJ0JGR6	127
1003490001	1699952432	PO2W4KD7	127	1740467000	PO65UMU5	127
1003490001	1699952432	PO2W4KD7	127	1518184936	POJ0JGR6	127
1005220001	1962554485	PO4AG6X1	133699	1104845106	PONX7T29	133699
1005220001	1104845106	PONX7T29	133699	1962554485	PO4AG6X1	133699
1005960001	1821157827	PO85VBJ7	2230	1780729376	PO85VBJ7	2230
1005960001	1780729376	PO85VBJ7	2230	1821157827	PO85VBJ7	2230
1006210001	1922081959	PO3DKX63	508	1033172168	POD9WUK9	508
1006210001	1033172168	POD9WUK9	508	1922081959	PO3DKX63	508
1010410002	1487668927	PO99C353	52096	1710992342	POKX34E2	52096
1010410002	1710992342	POKX34E2	52096	1487668927	PO99C353	52096
1016990001	1770886145	PO9RKVA3	981	1386639920	PO9RKVA3	981
1016990002	1710031653	PO0X8EG1	96	1245392166	PO0A67H3	96
1016990002	1497058861	POA6B1D8	96	1245392166	PO0A67H3	96
1016990002	1497058861	POA6B1D8	96	1710031653	PO0X8EG1	96
1016990002	1245392166	PO0A67H3	96	1710031653	PO0X8EG1	96
1016990007	1205139672	POB9H5R2	836	1649345893	PO6Q2H05	836
1016990008	1194028563	POHTACC4	9	1134282635	PO7M1J92	9
1016990009	1265735658	PO8FTQK4	364	1225191729	PO3NUKV5	364
1016990010	1770885733	PO1FJKD5	-1	1396899233	PO1FJKD5	-1
1016990012	1922300987	POT5F1M7	61	1588812168	PO9RKVA3	61
1017370002	1972645810	POTNB187	-2080	1154784825	POTNB187	-2080
1017370002	1154784825	POTNB187	-2080	1972645810	POTNB187	-2080
1017370003	1730221672	PO2E4DB0	405	1427411313	PO2E4DB0	405
1017370003	1427411313	PO2E4DB0	405	1730221672	PO2E4DB0	405
1017810002	1174673313	PO5DQTQ4	14241	1477514339	PO0GF368	14241
1017810002	1477514339	PO0GF368	14241	1174673313	PO5DQTQ4	14241
1019580001	1891736286	PO5GA2A2	45465	1053360388	POJ681X1	45465
