IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1050990005	1780622795	POKHUHW5	2698	NA	NA	NA
1079770001	1730135823	PO2DMF29	143	NA	NA	NA
1135910001	1881799666	PO29C531	51854	NA	NA	NA
1139120011	1639406747	PO6M1JR0	62578	NA	NA	NA
1163400001	1871504373	POBP1059	1102	NA	NA	NA
1195510001	1801979935	POH80MQ2	7836	NA	NA	NA
1197540001	1972566677	POABHVK9	26537	NA	NA	NA
1229650006	1215942123	POUMUWV8	336	NA	NA	NA
1229650009	1760497671	PO7UAVD3	528	NA	NA	NA
1229650021	1841205754	POT69148	135	NA	NA	NA
1252680004	1881848323	PO3RC201	9553	NA	NA	NA
1257110001	1699714022	PO08DFW1	26997	NA	NA	NA
1266000001	1013915040	POFERC31	1801	NA	NA	NA
1273520001	1720014459	PO7EQR81	148	NA	NA	NA
1319530001	1457417727	POKDU5X2	360	NA	NA	NA
2020810001	1477615912	PO9UQN90	525	NA	NA	NA
3860750001	1841302379	PO7BFN23	193	NA	NA	NA
3908030001	1023134004	PO1EB8A9	499	NA	NA	NA
4029600001	1699708768	POJ5M1R5	130	NA	NA	NA
4120510002	1932371879	PO6J55M8	141	NA	NA	NA
4250610001	1386779460	PO759NX3	6945	NA	NA	NA
4282220002	1750655692	POR857T3	26894	NA	NA	NA
4343290001	1134206824	POPBXMR9	848	NA	NA	NA
4395960001	1922055953	PO42XAP3	464	NA	NA	NA
4456360001	1700983541	PO735U04	10481	NA	NA	NA
4469560001	1598700478	PO6KEGC6	139	NA	NA	NA
4497260002	1255358941	POENHKV0	2959	NA	NA	NA
4579990001	1952471815	PO7P30V6	492	NA	NA	NA
4650440001	1215934575	POKH6V06	348	NA	NA	NA
4702270002	1013005545	PO4P6XU5	1344	NA	NA	NA
4702270008	1174623219	POU4MF41	19753	NA	NA	NA
4762790001	1669427076	POTXW8P1	3170	NA	NA	NA
4798170029	1912076779	POVRCM13	25427	NA	NA	NA
4834710003	1083687131	POTK5A31	117	NA	NA	NA
4860200001	1558303339	PO31P9A4	915	NA	NA	NA
5021210001	1669561163	PONARHW5	1527	NA	NA	NA
5100910003	1386966877	POPJN7K9	386	NA	NA	NA
5125300002	1023159423	POCDMHN2	4829	NA	NA	NA
5130870003	1194994962	POWBNC23	2270	NA	NA	NA
5134690001	1902852056	POR85JQ1	216	NA	NA	NA
5224490001	1952366189	POB9WDU7	1083	NA	NA	NA
5293950005	1295005866	PO85K950	4379	NA	NA	NA
5369530001	1245296565	POWJ0N06	36647	NA	NA	NA
5425740001	1568528446	PO4G23F9	145	NA	NA	NA
5564650001	1184668873	POU6J9D1	316	NA	NA	NA
5612280001	1073659637	PO13F4W2	450	NA	NA	NA
5666600001	1750321501	POP2NTN8	763	NA	NA	NA
5722260001	1912927120	PO1M6493	5168	NA	NA	NA
5733470001	1558318766	POFE63B4	1767	NA	NA	NA
5793640001	1316051394	POATGCQ8	721	NA	NA	NA
5856000001	1114065513	POV3R2P7	3838	NA	NA	NA
5867770001	1023157070	POJG60G0	6027	NA	NA	NA
6054030002	1295728533	PO3779X4	700	NA	NA	NA
6060860001	1104013713	PO85GDT3	1724	NA	NA	NA
6069270002	1851615363	POBNQJF9	68962	NA	NA	NA
6132530004	1669613196	POA3J5G8	49277	NA	NA	NA
6260970001	1922057884	POF6PPD2	603	NA	NA	NA
6307420001	1215190376	POWK3HW1	390	NA	NA	NA
6341660001	1275793960	PO931CC3	282	NA	NA	NA
6426270001	1801039409	POC5XC35	1099	NA	NA	NA
6463940001	1033113584	PO1KM3T5	4289	NA	NA	NA
6475340001	1518271139	POJEQDJ2	1916	NA	NA	NA
6478780001	1013152099	POT6DFQ1	2965	NA	NA	NA
6647240001	1366720625	PORV6P65	400	NA	NA	NA
6672840005	1104837616	POW33041	1501	NA	NA	NA
6672840017	1730117581	PO5V0T47	6381	NA	NA	NA
6683070001	1932188836	PON358F4	409	NA	NA	NA
6707250001	1013913458	POAN4WV2	9531	NA	NA	NA
6721280001	1639424328	PO27H006	199	NA	NA	NA
6729010001	1134410228	POBXH2P8	216	NA	NA	NA
6760180001	1396049706	PO2QWH79	4088	NA	NA	NA
6924550001	1689954935	PO9GW4F7	17766	NA	NA	NA
7000950001	1902246077	POPBVA98	1263	NA	NA	NA
7075750001	1578558979	PO1N4JR7	22192	NA	NA	NA
7170550001	1821187501	PORBVDF0	1107	NA	NA	NA
7297430001	1780621169	POPFC4M7	24387	NA	NA	NA
7303220001	1881001311	PO4J0142	1222	NA	NA	NA
7358030001	1669553673	PO234320	148	NA	NA	NA
7462980001	1225431505	PORD6QV5	168	NA	NA	NA
