Var1	Freq
04`	0
04=========	0
040=========	0
0400	0
04=========00	0
040000	0
04000000	0
040000000013791	0
04000000058	0
04000000093	0
04000000107595	0
04000000111	2
04000000111264	0
04000000216	0
04000000250	2
040000002540	0
040000002642	0
04000000419	0
04000000454	0
04000000491	0
04000000495	0
04000000498	0
04000000501	0
04000000565	0
04000000582	0
04000000603	0
040000007BU	2
040000008021	0
04000000825	0
04000000979	0
04000001009	0
04000001011	0
04000001021	0
04000001038	0
04000001082	0
04000001101	0
04000001139	0
040000 01172	0
04000001208	0
04000001240	0
040000012891	0
04000001299	0
04000001328	0
04000001331	0
04000001341	0
04000001368	0
04000001389	0
04000001400	2
04000001435	0
04000001465	2
04000001503	0
04000001530	0
04000001544	0
04000001546	0
04000001573	0
04000001575	0
04000001588	0
04000001636	0
04000001643	0
04000001701	0
04000001755	0
04000001855	0
04000001951	0
04000001H62	0
04000002200	0
04000002211	0
04000002217	0
04000002231	0
04000002241	0
04000002251	0
04000002259	0
04000002265	0
04000002266	0
04000002274	0
04000002292	0
04000002293	0
04000002298	0
04000002299	0
04000002338	0
04000002344	0
04000002346	0
04000002364	0
04000002397	0
04000002408	0
040000024412	0
04000002443	0
04000002556	0
040000025753	0
04000002618	0
04000002624	0
04000002703	0
04000002747	0
040000027781	0
040000028040	0
04000002860	0
040000  02867	0
04000002875	0
04000002876	0
040000028810	0
04000002890	0
04000002900	0
04000002981	0
04000003017	0
04000003035	0
04000003105	0
04000003106	0
040000031367	0
040000032082	0
040000032115	0
04000003344	0
04000003367	0
04000003371	0
04000003375	0
04000003377	0
04000003381	0
0400000-3383	0
04000003385	0
04000003402	0
04000003414	0
0400000342	0
04000003439	0
04000003462	0
04000003549	0
04000003606	0
040000036242	0
04000003630	2
04000003637	0
04000003645	0
04000003664	0
04000003687	0
040000038324	0
04000003836	0
04000003837	0
04000003965	0
040000039719	0
04000003983	0
04000004003	0
04000004004	0
04000004080	0
04000004156	0
04000004285	0
040000042858	0
04000004304	0
04000004393	0
04000004405	0
04000004435	0
04000004495	0
04000004537	0
04000004625	0
04000004637	0
04000004638	0
04000004665	12
04000004669	0
04000004670	0
040000047932	0
04000004930	0
04000005037	0
