IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1003490001	1699952432	PO2W4KD7	68	1740467000	PO65UMU5	68
1003490001	1699952432	PO2W4KD7	68	1518184936	POJ0JGR6	68
1003490001	1518184936	POJ0JGR6	68	1699952432	PO2W4KD7	68
1003490001	1518184936	POJ0JGR6	68	1740467000	PO65UMU5	68
1003490001	1740467000	PO65UMU5	68	1699952432	PO2W4KD7	68
1003490001	1740467000	PO65UMU5	68	1518184936	POJ0JGR6	68
1005220001	1962554485	PO4AG6X1	179042	1104845106	POQH72P8	179042
1005220001	1104845106	POQH72P8	179042	1962554485	PO4AG6X1	179042
1005960001	1821157827	PO0R0EW5	2429	1780729376	PO0R0EW5	2429
1005960001	1780729376	PO0R0EW5	2429	1821157827	PO0R0EW5	2429
1006210001	1922081959	PO3DKX63	492	1033172168	POD9WUK9	492
1006210001	1033172168	POD9WUK9	492	1922081959	PO3DKX63	492
1010410002	1487668927	PO99C353	48667	1710992342	POKX34E2	48667
1010410002	1710992342	POKX34E2	48667	1487668927	PO99C353	48667
1010880001	1346412624	PO278905	184	1992877484	PO4CN551	184
1010880001	1992877484	PO4CN551	184	1346412624	PO278905	184
1016990001	1386639920	PO9RKVA3	807	1770886145	PO9RKVA3	807
1016990001	1770886145	PO9RKVA3	807	1386639920	PO9RKVA3	807
1016990002	1710031653	PO0X8EG1	86	1497058861	POA6B1D8	86
1016990002	1710031653	PO0X8EG1	86	1245392166	PO0A67H3	86
1016990002	1497058861	POA6B1D8	86	1710031653	PO0X8EG1	86
1016990002	1497058861	POA6B1D8	86	1245392166	PO0A67H3	86
1016990002	1245392166	PO0A67H3	86	1710031653	PO0X8EG1	86
1016990002	1245392166	PO0A67H3	86	1497058861	POA6B1D8	86
1016990006	1851694228	POUQMKR5	-1	1235205105	POD93QB5	-1
1016990006	1235205105	POD93QB5	-1	1851694228	POUQMKR5	-1
1016990007	1649345893	PO6Q2H05	594	1205139672	POB9H5R2	594
1016990007	1205139672	POB9H5R2	594	1649345893	PO6Q2H05	594
1016990008	1134282635	PO7M1J92	-14	1194028563	POHTACC4	-14
1016990008	1194028563	POHTACC4	-14	1134282635	PO7M1J92	-14
1016990009	1225191729	PO3NUKV5	261	1265735658	PO8FTQK4	261
1016990009	1265735658	PO8FTQK4	261	1225191729	PO3NUKV5	261
1016990012	1588812168	PO9RKVA3	51	1922300987	POT5F1M7	51
1016990012	1922300987	POT5F1M7	51	1588812168	PO9RKVA3	51
1017370002	1972645810	POTNB187	1162	1154784825	POTNB187	1162
1017370002	1154784825	POTNB187	1162	1972645810	POTNB187	1162
1017370003	1730221672	PO2E4DB0	721	1427411313	PO2E4DB0	721
1017370003	1427411313	PO2E4DB0	721	1730221672	PO2E4DB0	721
1017810002	1174673313	PO5DQTQ4	15854	1477514339	PO0GF368	15854
1017810002	1477514339	PO0GF368	15854	1174673313	PO5DQTQ4	15854
1019580001	1891736286	PO5GA2A2	34823	1053360388	POJ681X1	34823
1019580001	1053360388	POJ681X1	34823	1891736286	PO5GA2A2	34823
1019650002	1417986092	POQGTGQ8	-28	1710989066	PODAXDK1	-28
1019650002	1710989066	PODAXDK1	-28	1417986092	POQGTGQ8	-28
1020310002	1174789838	PO76B7P2	2684	1417957275	POD1EX83	2684
1020310002	1417957275	POD1EX83	2684	1174789838	PO76B7P2	2684
1020410001	1003362807	POTF4P04	383	1942251434	POXCVVA6	383
1020410001	1003362807	POTF4P04	383	1730635533	PO7P4GV3	383
1020410001	1730635533	PO7P4GV3	383	1003362807	POTF4P04	383
1020410001	1730635533	PO7P4GV3	383	1942251434	POXCVVA6	383
1020410001	1942251434	POXCVVA6	383	1003362807	POTF4P04	383
1020410001	1942251434	POXCVVA6	383	1730635533	PO7P4GV3	383
1022700002	1053311894	PO02XEH7	72	NA	NA	NA
1027180001	1508057506	POGPB3K7	3217	1891796785	PO7A5A32	3217
1027180001	1891796785	PO7A5A32	3217	1508057506	POGPB3K7	3217
1027550001	1598740102	PONE5VB1	15483	1245215771	POHRPDT2	15483
1027550001	1245215771	POHRPDT2	15483	1598740102	PONE5VB1	15483
1028210001	1265446553	POJ9A6B5	-2	1871025718	NA	-2
1030710001	1831126275	POQ4X860	33	1053412346	POV5V647	33
1030710001	1053412346	POV5V647	33	1831126275	POQ4X860	33
1038090001	1033361324	PO0P8QU1	330	1144338773	POWN46E0	330
1038090001	1144338773	POWN46E0	330	1033361324	PO0P8QU1	330
1038990001	1841212040	POTTBPC5	4420	1124122726	POTTBPC5	4420
1038990001	1841212040	POTTBPC5	4420	1790747244	POPB13V6	4420
1038990001	1790747244	POPB13V6	4420	1124122726	POTTBPC5	4420
1038990001	1790747244	POPB13V6	4420	1841212040	POTTBPC5	4420
1038990001	1124122726	POTTBPC5	4420	1841212040	POTTBPC5	4420
1038990001	1124122726	POTTBPC5	4420	1790747244	POPB13V6	4420
1042230007	1447554746	POMA75H1	3	1821488891	POKHKQM0	3
1042230007	1821488891	POKHKQM0	3	1447554746	POMA75H1	3
1042230009	1447207287	PO4N71H4	14	1750487120	PO4N71H4	14
1042230009	1750487120	PO4N71H4	14	1447207287	PO4N71H4	14
1042980001	1407971872	POFUPU86	28217	1740261064	POFUPU86	28217
1042980001	1740261064	POFUPU86	28217	1407971872	POFUPU86	28217
1043770001	1447286844	PO0RETB3	263	1508097312	POWW4461	263
1043770001	1447286844	PO0RETB3	263	1255562229	POPW9106	263
1043770001	1255562229	POPW9106	263	1508097312	POWW4461	263
1043770001	1255562229	POPW9106	263	1447286844	PO0RETB3	263
1043770001	1508097312	POWW4461	263	1255562229	POPW9106	263
1043770001	1508097312	POWW4461	263	1447286844	PO0RETB3	263
1044320001	1487781837	POMJ5972	270	1619004041	PO4WJR59	270
1044320001	1487781837	POMJ5972	270	1710030598	PO9B6782	270
1044320001	1487781837	POMJ5972	270	1811023229	PO9G6GR5	270
1044320001	1710030598	PO9B6782	270	1487781837	POMJ5972	270
1044320001	1710030598	PO9B6782	270	1619004041	PO4WJR59	270
1044320001	1710030598	PO9B6782	270	1811023229	PO9G6GR5	270
