IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1079770001	1730135823	PO2DMF29	224	NA	NA	NA
1135910001	1881799666	PO29C531	136747	NA	NA	NA
1139120011	1639406747	PO6M1JR0	79539	NA	NA	NA
1163400001	1871504373	POBP1059	1981	NA	NA	NA
1195510001	1801979935	POH80MQ2	3704	NA	NA	NA
1220430001	1780778191	PO813N17	123	NA	NA	NA
1257110001	1699714022	POWMEBW4	12688	NA	NA	NA
1314370001	1275598807	PO0V1616	1339	NA	NA	NA
1319530001	1457417727	POKDU5X2	160	NA	NA	NA
2020810001	1477615912	PO9UQN90	521	NA	NA	NA
3908030001	1023134004	PO1EB8A9	443	NA	NA	NA
4250610001	1386779460	PO759NX3	11088	NA	NA	NA
4343290001	1134206824	PO8X07X2	802	NA	NA	NA
4456360001	1700983541	PO735U04	9825	NA	NA	NA
4497260002	1255358941	POENHKV0	2477	NA	NA	NA
4648040001	1174620710	POT1AP84	2997	1508397381	NA	2997
4762790001	1669427076	POTXW8P1	5844	NA	NA	NA
4860200001	1558303339	PO31P9A4	470	NA	NA	NA
4989590001	1487790697	PO793DU8	42089	NA	NA	NA
5100910003	1386966877	POPJN7K9	173	NA	NA	NA
5249790001	1710992359	POEJJ0F1	126	NA	NA	NA
5293950005	1295005866	PO85K950	3945	NA	NA	NA
5369530001	1245296565	POWJ0N06	48145	NA	NA	NA
5564650001	1184668873	POU6J9D1	277	NA	NA	NA
5651220001	1659310571	PO5B9A61	10422	1699208538	NA	10422
5722260001	1912927120	PO1M6493	5987	NA	NA	NA
5733470001	1558318766	POFE63B4	1674	NA	NA	NA
5793640001	1316051394	POATGCQ8	660	NA	NA	NA
5856000001	1114065513	POV3R2P7	2548	NA	NA	NA
5867770001	1023157070	POJG60G0	2438	NA	NA	NA
6054030002	1295728533	PO3779X4	657	NA	NA	NA
6060860001	1104013713	PO85GDT3	2986	NA	NA	NA
6069270002	1851615363	POBNQJF9	112309	NA	NA	NA
6108370001	1821274382	POWAQ8G8	22886	NA	NA	NA
6150480001	1528234424	POE1CTN0	792	1154853034	NA	792
6307420001	1215190376	POWK3HW1	355	NA	NA	NA
6341660001	1275793960	PO931CC3	1006	NA	NA	NA
6426270001	1801039409	POC5XC35	890	NA	NA	NA
6463940001	1033113584	PO1KM3T5	4338	NA	NA	NA
6475340001	1518271139	POJEQDJ2	1616	NA	NA	NA
6478780001	1013152099	POT6DFQ1	1536	NA	NA	NA
6498280001	1154362036	POCR0X95	350	NA	NA	NA
6505730001	1164733986	PO6X3G98	247	NA	NA	NA
6683070001	1932188836	PON358F4	487	NA	NA	NA
6717580001	1619953205	POQAWMC0	492	NA	NA	NA
6721280001	1639424328	PO27H006	127	NA	NA	NA
6760180001	1396049706	PO2QWH79	1613	NA	NA	NA
7075750001	1578558979	PO1N4JR7	24014	NA	NA	NA
7170550001	1821187501	PORBVDF0	1195	NA	NA	NA
7297430001	1780621169	POPFC4M7	31057	NA	NA	NA
7303220001	1881001311	PO4J0142	390	NA	NA	NA
