PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
K	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
95800	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
95806	0	1	1	0	0	1	0	0	1	0	1	14	1	0	0	1	14	1	0	0
A4216	10150	11070	11101	10933	13477	10801	10787	11606	11198	12094	10843	11193	11482	12221	0	10367	10980	11317	13607	0
A4217	8793	8593	8214	8167	8688	8574	8220	8017	8599	8245	8496	7911	8057	9341	0	8564	7884	8121	8612	0
A4253	3415047	0	0	0	0	3400337	0	0	0	0	3349524	0	0	0	0	0	0	0	0	0
A4256	1115736	0	0	0	0	1113214	0	0	0	0	1098443	0	0	0	0	0	0	0	0	0
A4258	583187	0	0	0	0	586441	0	0	0	0	551716	0	0	0	0	0	0	0	0	0
A4259	1993005	0	0	0	0	1961657	0	0	0	0	1932340	0	0	0	0	0	0	0	0	0
A4310	16494	16083	15841	15929	15832	16418	16407	15662	15577	14365	16451	16333	16163	15706	0	16468	15769	16057	15160	0
A4311	4198	3389	2994	2982	2982	3881	3156	2894	3124	3240	3483	3352	2904	2410	0	3523	3286	2934	2304	0
A4314	38023	33401	31743	28788	27519	37626	33527	30823	28515	24827	36658	33438	30312	28879	0	35953	32553	29949	28130	0
A4320	4356	4107	4077	3347	3345	4143	4112	3530	3274	3138	4136	4506	3592	3332	0	3941	4235	3358	3068	0
A4323	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
A4326	1367	1867	2072	2376	2377	1381	1815	2266	2235	2511	1558	1902	2198	2333	0	1684	2083	2453	2193	0
A4335	1348	1233	1437	5452	6711	1245	1238	2084	5752	7193	1364	1320	3416	4900	0	1252	1427	4811	5972	0
A4338	24497	23743	23146	22052	21547	23884	24071	22956	21852	20903	24332	23925	23122	22327	0	24002	23132	22620	21116	0
A4340	3772	3806	3401	3538	3689	3827	3768	3575	3702	3481	3817	3690	3634	3821	0	3831	3519	3576	3517	0
A4344	5900	6264	5662	5559	5336	6046	6112	5782	5286	5054	6124	6152	5796	5347	0	6255	5835	5725	5109	0
A4349	30044	29192	27341	25625	24784	30090	28603	26937	25429	24462	29833	28630	26739	25438	0	29873	28136	26185	24759	0
A4351	99177	107602	110500	117209	121214	102453	109466	112776	120328	122559	106092	113354	117840	122036	0	108263	111704	120027	120376	0
A4352	21361	24517	27110	30700	33952	21922	25654	28435	32104	35153	23319	27015	29907	33298	0	24381	27001	30888	33123	0
A4353	17389	18413	18421	18198	18599	17635	18845	18311	18477	18203	18317	19270	18558	18947	0	18451	18658	18372	18782	0
A4354	1497	1705	1502	1332	1676	1573	1788	1571	1381	1429	1601	1639	1543	1390	0	1678	1629	1506	1422	0
A4357	103344	101187	100252	97927	99341	103593	101968	100442	98305	94747	103498	103315	101335	99990	0	105019	102281	101431	97906	0
A4358	58813	57521	54098	51324	50322	58497	57802	53569	51269	49366	58861	57143	53612	51245	0	58746	55389	52062	48822	0
A4362	4237	12484	17015	19214	22324	5069	16440	19565	19587	23253	7388	17416	20289	21990	0	9388	17736	20940	22176	0
A4385	34109	37175	40423	40837	44805	35907	39117	41266	42004	46070	36977	41237	41891	44645	0	39217	42458	42597	45527	0
A4389	4711	4801	4971	4858	5675	4936	5119	5121	5076	6110	5028	5272	5331	5262	0	5235	5394	5266	5459	0
A4406	48231	45236	42235	39348	38722	48748	45850	42065	39894	38673	48581	46321	42426	40336	0	50007	46265	42457	40302	0
A4407	38679	38774	39189	38614	39629	40328	40209	40161	39634	39978	40804	41504	40706	40709	0	42473	42044	41254	41059	0
A4409	36541	38180	39764	39494	42328	37929	39962	41104	40465	43054	39376	41432	41500	42443	0	41110	42228	41666	42670	0
A4414	57691	53710	49936	46496	45176	58564	54216	50341	47201	44547	57958	54312	50393	47436	0	58961	54125	50142	47360	0
A4419	19035	19019	19201	18927	19618	19597	19394	19515	19085	19444	19698	19851	19797	19473	0	20337	20042	19906	19431	0
A4421	427	444	482	440	542	323	479	458	479	510	339	465	480	454	0	403	482	424	569	0
A4424	6770	6877	7334	7715	8310	6807	7228	7755	8066	8586	7141	7634	8076	8363	0	7391	7754	8138	8484	0
A4425	26992	28642	29973	30335	32626	28243	30082	30803	31254	32982	29217	31112	31696	32162	0	30864	31746	31980	32682	0
A4430	6167	6217	6322	6143	6235	6522	6451	6522	6167	6275	6506	6636	6607	6408	0	6802	6709	6637	6468	0
A4432	23635	23687	23563	23091	23962	24629	24489	24301	23689	24306	25152	25292	24496	24577	0	25925	25545	24756	24999	0
A4452	48878	0	0	0	0	47567	0	0	0	0	46975	0	0	0	0	0	0	0	0	0
A4483	0	0	666	592	517	0	0	636	614	477	0	590	609	557	0	0	638	520	514	0
A4490	31	100	45	29	11	55	80	29	19	18	60	39	41	20	0	62	77	17	16	0
A4495	285	437	681	367	233	273	418	660	316	286	217	507	517	263	0	283	633	228	265	0
A4500	762	632	640	553	510	715	736	722	533	521	696	727	627	481	0	606	661	525	462	0
A4510	386	413	309	165	182	602	426	475	446	317	404	353	536	287	0	233	406	290	152	0
A4550	44	3	6	3	0	21	4	10	1	2	8	2	87	1	0	0	0	18	2	0
A4554	17456	16274	16196	19053	18415	18391	17260	14542	17555	21410	17651	17786	15700	18261	0	16974	16851	16486	17273	0
A4556	2087	1375	1043	1260	548	1826	1067	1242	1093	488	1488	1134	1054	689	0	1328	1018	1169	461	0
A4575	20	2	92	30	23	20	12	78	26	22	16	47	39	34	0	31	94	29	24	0
A4580	164	33	18	9	30	184	23	19	21	13	106	26	19	23	0	23	15	12	21	0
A4590	82	15	15	5	3	101	8	12	3	6	61	12	7	10	0	13	6	11	4	0
A4595	121954	0	0	0	0	121867	0	0	0	0	115782	0	0	0	0	0	0	0	0	0
A4604	0	61930	86869	134381	208592	0	69982	96585	149304	230466	0	69204	108574	169984	0	56688	83274	124614	193751	0
A4605	2671	2486	3009	3383	3410	2581	2784	2975	3328	3371	2417	2836	3141	3350	0	2312	2869	3126	3306	0
A4606	349	272	298	409	436	366	264	317	437	460	353	252	323	424	0	317	277	330	423	0
A4608	29	23	20	16	15	39	22	16	11	11	42	23	13	9	0	41	16	15	5	0
A4611	44	57	37	57	11	61	50	36	38	16	55	33	42	28	0	52	26	41	16	0
A4612	11	4	2	3	1	12	7	6	1	4	11	5	10	2	0	12	5	9	4	0
A4613	22	2	6	17	2	8	22	5	10	4	17	12	16	8	0	5	25	27	5	0
A4614	242	325	253	203	247	289	327	322	204	205	308	307	216	173	0	399	338	208	229	0
A4615	2349	1755	2036	1819	1364	1409	1202	1513	1465	959	1341	1267	1466	1153	0	1086	1145	1157	1120	0
A4616	664	614	663	643	742	606	564	645	688	661	569	511	686	610	0	573	501	676	593	0
A4617	30	19	37	47	58	16	23	19	59	46	22	20	14	33	0	22	19	29	28	0
A4618	1457	1567	1705	1640	1541	1483	1554	1646	1565	1455	1406	1476	1519	1468	0	1497	1543	1589	1582	0
A4619	18	7	5	6	8	9	5	5	4	6	8	1	9	3	0	7	3	3	9	0
A4620	152	154	162	122	106	165	151	153	96	129	150	146	141	90	0	137	140	137	103	0
A4623	0	0	16241	16311	16891	0	0	16372	16294	15862	0	16001	16568	16789	0	0	16480	16866	16625	0
A4624	13676	0	13259	13123	13023	13390	0	12892	12857	12875	12862	12842	13058	12551	0	0	13159	13140	12516	0
A4625	0	0	680	479	489	0	0	655	462	446	0	772	575	478	0	0	689	536	539	0
A4627	483	537	574	566	656	492	456	607	540	551	417	467	504	461	0	519	605	579	540	0
A4628	10951	11414	11893	11851	11974	10796	11303	11119	11900	11773	10624	10816	11395	11645	0	11039	11497	11431	11830	0
A4629	16672	0	16558	16414	16858	16535	0	16440	16481	16200	16223	16171	16580	16578	0	0	16281	16738	16335	0
A4635	9	14	6	6	3	16	12	8	2	2	16	6	6	3	0	8	8	4	8	0
A4636	37	32	52	45	107	28	48	85	77	151	52	42	62	71	0	42	45	59	201	0
A4637	231	184	127	97	62	178	171	119	113	86	199	141	103	71	0	187	153	102	77	0
A4640	407	433	339	332	330	358	433	352	333	267	344	343	281	314	0	382	407	335	280	0
A4649	2078	1704	1611	1840	1780	1750	1461	1535	2462	1784	1507	1602	1654	2774	0	1561	1621	1657	1830	0
A5063	59896	56279	53344	50197	48943	60772	57447	54243	50699	48578	60797	57873	54126	51414	0	61999	57993	53698	51531	0
A5102	1567	1499	1466	1370	1345	1627	1478	1412	1329	1459	1598	1541	1483	1006	0	1674	1644	1467	1523	0
A5105	487	355	375	371	329	494	361	405	355	328	455	385	384	330	0	411	371	373	312	0
A6010	904	0	0	0	0	935	0	0	0	0	1230	0	0	0	0	0	0	0	0	0
A6011	538	295	443	369	345	430	357	315	323	354	406	391	356	262	0	348	402	345	281	0
A6021	27629	0	0	0	0	23897	0	0	0	0	21610	0	0	0	0	0	0	0	0	0
A6022	1190	849	1300	1373	1180	1787	688	1334	1500	1068	1887	1545	1494	1265	0	1765	1318	1246	1112	0
A6023	151	224	121	150	159	206	265	172	179	178	218	148	187	151	0	248	108	138	156	0
A6024	66	45	58	76	65	62	53	62	63	60	41	70	79	75	0	38	57	110	66	0
A6196	21803	0	0	0	0	20164	0	0	0	0	20100	0	0	0	0	0	0	0	0	0
A6197	8480	0	0	0	0	8631	0	0	0	0	9276	0	0	0	0	0	0	0	0	0
A6198	24	36	31	70	205	46	29	49	142	184	35	42	71	174	0	34	18	84	166	0
A6199	3573	3296	3781	3811	3813	3643	3487	4005	4032	4272	3737	3859	4327	4012	0	3563	3957	4012	3867	0
A6203	1566	1577	1792	2177	3875	1691	1815	1922	2792	7042	1719	1879	2187	3013	0	1540	1741	2257	3330	0
A6204	482	491	430	319	264	391	529	388	304	318	455	459	428	294	0	387	395	438	245	0
A6205	0	8	7	4	1	4	10	5	7	0	10	4	8	5	0	5	9	5	1	0
A6206	160	170	186	182	225	207	177	189	185	253	200	183	184	231	0	150	156	187	227	0
A6207	904	1047	1315	1701	1836	962	1160	1584	1904	1983	1070	1348	1631	1898	0	997	1428	1550	1983	0
A6208	23	31	15	18	21	26	24	6	26	29	21	29	5	28	0	33	28	9	23	0
A6209	25075	0	0	0	0	21717	0	0	0	0	20549	0	0	0	0	0	0	0	0	0
A6210	5254	0	0	0	0	5203	0	0	0	0	5151	0	0	0	0	0	0	0	0	0
A6211	765	660	812	929	891	688	708	868	946	906	746	852	957	982	0	776	873	932	872	0
A6212	57257	0	0	0	0	51710	0	0	0	0	47433	0	0	0	0	0	0	0	0	0
A6213	735	697	713	984	1214	674	707	746	1011	902	763	771	827	1142	0	673	767	899	1176	0
A6214	214	348	503	735	754	220	408	482	748	1031	282	432	440	676	0	327	435	572	628	0
A6215	18	35	21	34	52	23	45	22	34	56	32	21	20	36	0	26	36	28	39	0
A6222	18833	0	0	0	0	16915	0	0	0	0	17465	0	0	0	0	0	0	0	0	0
A6223	4179	4397	4833	4878	5344	4438	4515	4806	5106	5535	4587	4858	5347	5437	0	4475	4885	5027	5351	0
A6224	535	385	564	771	863	457	410	739	827	852	440	534	782	825	0	384	585	768	867	0
A6231	5079	4078	4522	3756	2971	4801	4383	4353	3525	3132	4376	4838	3722	3110	0	3999	4293	3173	3079	0
A6232	39	42	68	47	41	50	46	89	58	64	58	52	51	43	0	56	62	53	35	0
A6233	15	20	18	17	24	22	143	16	29	50	18	73	17	25	0	21	26	25	21	0
A6234	7056	6839	6683	6423	5507	6960	6847	6601	5985	5441	7020	7081	6743	5788	0	6822	6634	6186	5227	0
A6235	1236	1136	969	764	612	1204	986	1005	612	536	1083	1034	923	616	0	1124	1003	876	613	0
A6236	216	175	131	129	99	268	111	152	116	92	207	164	116	103	0	190	148	122	88	0
A6237	1629	1298	1289	1126	898	1587	1457	1206	1041	948	1420	1369	1248	928	0	1323	1307	1121	820	0
A6238	490	351	274	309	229	445	288	303	295	193	432	328	319	279	0	435	296	314	219	0
A6239	2	2	1	1	0	3	5	0	0	1	2	5	3	0	0	6	3	0	0	0
A6240	1611	2337	2963	1996	755	2047	3027	3308	878	848	2214	3305	3720	775	0	2256	2901	3490	743	0
A6241	35	27	39	45	23	20	35	33	38	9	21	39	46	42	0	13	41	40	50	0
A6242	1843	1249	1105	1453	940	1654	1347	1455	1332	1084	1484	1357	1645	1186	0	1349	1328	1511	908	0
A6243	215	169	143	177	230	197	241	150	241	241	223	231	124	230	0	171	190	129	224	0
A6244	11	3	10	12	4	9	7	14	11	15	8	5	9	11	0	5	3	6	5	0
A6245	31	106	94	32	36	38	104	111	34	76	64	147	92	39	0	81	130	60	40	0
A6246	12	11	28	1	3	21	6	16	7	3	10	2	8	7	0	7	5	8	2	0
A6247	16	13	7	54	23	17	12	27	35	30	7	5	30	35	0	12	8	36	28	0
A6248	10460	9463	10850	9243	8551	9545	10176	11117	9097	9294	9261	10653	10290	8751	0	9070	10308	9212	7928	0
A6251	3416	2667	1909	1813	1176	3017	2674	1793	1793	1227	2854	3095	1803	1739	0	2757	2042	1776	1403	0
A6252	11612	0	0	0	0	11883	0	0	0	0	12276	0	0	0	0	0	0	0	0	0
A6253	5868	0	0	0	0	5740	0	0	0	0	5918	0	0	0	0	0	0	0	0	0
A6254	248	241	259	238	343	262	232	283	296	373	244	242	431	361	0	258	248	275	373	0
A6255	109	120	152	71	68	123	102	132	70	64	121	120	115	67	0	128	208	95	88	0
A6256	1	0	3	10	1	1	1	5	5	5	3	2	4	7	0	0	6	9	1	0
A6257	3020	3109	2837	2770	3120	3003	3115	2767	2701	3198	3016	2962	2870	2821	0	2877	2985	2671	3052	0
A6258	3150	3334	3118	3161	2611	3250	3404	3149	3163	2925	3388	3514	3303	3398	0	3343	3390	3240	2780	0
A6259	295	285	213	234	214	318	261	215	195	187	313	310	266	223	0	300	253	231	219	0
A6262	161	114	164	135	160	168	113	187	129	135	163	162	169	124	0	107	163	114	137	0
A6266	9412	0	0	0	0	9280	0	0	0	0	10382	0	0	0	0	0	0	0	0	0
A6446	29070	0	0	0	0	27683	0	0	0	0	26865	0	0	0	0	0	0	0	0	0
A6512	24	73	54	24	41	23	44	38	28	20	25	68	41	67	0	42	43	17	26	0
A6530	10764	10871	10800	10777	10981	12245	12887	13232	13285	12883	12202	12629	13542	13477	0	12182	11989	12629	12308	0
A6531	5560	5510	5077	4455	4455	5747	6145	5713	5102	4699	5992	6101	5572	5246	0	6457	6119	5423	5041	0
A6532	836	671	542	662	685	870	614	602	706	749	833	616	639	744	0	771	580	563	537	0
A6533	3190	3049	2873	3018	2917	3407	3386	3456	3663	3362	3383	3286	3485	3513	0	3301	3294	3613	3208	0
