PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
A4550	44	3	6	3	0	21	4	10	1	2	8	2	87	1	0	0	0	18	2	0
A4575	20	2	92	30	23	20	12	78	26	22	16	47	39	34	0	31	94	29	24	0
A4590	82	15	15	5	3	101	8	12	3	6	61	12	7	10	0	13	6	11	4	0
A4611	44	57	37	57	11	61	50	36	38	16	55	33	42	28	0	52	26	41	16	0
A4613	22	2	6	17	2	8	22	5	10	4	17	12	16	8	0	5	25	27	5	0
A4635	9	14	6	6	3	16	12	8	2	2	16	6	6	3	0	8	8	4	8	0
A4649	2078	1704	1611	1840	1780	1750	1461	1535	2462	1784	1507	1602	1654	2774	0	1561	1621	1657	1830	0
A6205	0	8	7	4	1	4	10	5	7	0	10	4	8	5	0	5	9	5	1	0
A6241	35	27	39	45	23	20	35	33	38	9	21	39	46	42	0	13	41	40	50	0
A6246	12	11	28	1	3	21	6	16	7	3	10	2	8	7	0	7	5	8	2	0
A6251	3416	2667	1909	1813	1176	3017	2674	1793	1793	1227	2854	3095	1803	1739	0	2757	2042	1776	1403	0
A6256	1	0	3	10	1	1	1	5	5	5	3	2	4	7	0	0	6	9	1	0
A6512	24	73	54	24	41	23	44	38	28	20	25	68	41	67	0	42	43	17	26	0
A6535	78	82	75	86	55	83	76	76	72	40	88	86	71	80	0	77	86	78	69	0
A6536	272	344	241	161	101	252	310	246	182	108	315	280	238	181	0	367	282	234	212	0
A6541	10	21	7	1	6	11	23	8	9	2	17	9	9	9	0	19	27	10	17	0
A6544	4	7	3	2	1	3	1	4	3	7	2	1	3	11	0	2	2	2	5	0
A7011	93	44	20	12	0	53	42	34	20	0	46	26	20	13	0	38	37	16	35	0
A7014	3192	3305	3956	4096	2188	2781	3545	3784	4086	1993	2924	3550	3517	3981	0	3080	3914	3509	2777	0
A7025	0	0	4	4	0	2	4	0	3	0	0	0	1	4	0	1	0	4	1	0
A9999	6731	7935	5018	3360	2407	6766	7180	5349	3183	2257	6972	6198	5743	3141	0	7365	5651	5407	2744	0
B4083	0	19	14	12	10	0	14	13	13	10	0	17	12	13	0	14	17	10	13	0
B4104	76	48	74	60	40	51	65	70	45	30	32	78	58	54	0	39	56	48	46	0
E0111	191	141	127	148	90	205	168	156	165	119	196	174	161	142	0	194	154	165	123	0
E0113	23	11	20	26	2	17	11	30	21	3	16	16	23	21	0	17	18	23	6	0
