PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
A4357	99341	94747	93870	92468
A4340	3689	3481	3329	3162
A6234	5507	5441	6172	5757
A6235	612	536	578	557
A6540	127	148	98	113
A6199	3813	4272	4919	4785
L3908	74237	75620	73803	72304
A4580	30	13	0	0
E0450	0	0	0	0
A6206	225	253	288	368
A6208	21	29	43	35
L3670	24432	23272	23341	24050
A6239	0	1	0	0
A6215	52	56	48	51
L3650	5893	4953	4729	4375
A6245	36	76	96	199
B4160	590	478	471	454
B4102	167	164	189	203
L6722	6	4	7	4
L6010	4	6	1	5
L1800	0	0	0	0
L8310	208	213	179	210
Q4010	3	1	0	0
Q4013	0	0	0	0
Q4017	0	0	0	0
Q4037	0	0	0	0
Q4040	0	0	0	0
T4535	12	9	0	0
95800	0	0	0	0
G0399	0	0	0	0
A4419	19618	19444	19345	18972
E0562	397615	415139	427540	428073
B9002	46176	43089	44652	44157
E0143	197251	204065	197817	191831
E0303	8982	9094	8968	8750
E0776	51466	49529	53127	50307
K0800	3105	3450	3306	3646
L1810	6853	7112	6841	5925
L1820	20433	22978	23143	22433
L1832	10006	9689	8924	8617
L1845	2992	3327	2986	2900
E2206	2466	2474	2424	2304
E2395	2061	2290	1779	2008
A7046	203009	211202	213961	238780
B4155	10130	9020	7785	7395
B4034	59460	57607	53814	53027
B4088	2736	2723	2655	2857
E2621	131	169	154	193
E2612	653	743	624	724
E2213	2442	2519	2453	2727
K0826	126	117	81	77
E0957	481	512	483	549
K0827	942	961	932	844
K0821	3804	3866	3739	3769
E0424	788	674	656	586
E2402	30751	30960	32040	32396
E0673	7361	6055	5657	6074
E0441	325	315	327	350
E0666	123	95	82	61
E0373	512	536	882	1461
E0316	7	11	7	3
Q4001	0	0	0	0
Q4007	0	0	0	0
L0486	622	679	683	566
L5629	7348	7991	8094	8252
L5673	10289	10980	11122	11171
L5940	7297	7871	7915	8183
L5000	3556	4166	3915	4042
L0625	2083	2407	2306	2247
L5704	3244	3539	3372	3526
L8420	9746	10590	10759	10742
L8470	6972	7564	7681	7960
L5631	2668	2844	2827	3118
L5651	2698	2941	2872	3208
L5850	1484	1670	1627	1690
L8480	1513	1693	1708	1939
L5979	113	124	110	106
L5812	705	786	778	778
L2397	33788	33960	33477	37757
L3809	16234	16494	16915	15436
L5647	2253	2523	2556	2596
L5668	1356	1517	1432	1511
L2820	19857	21619	21574	21983
L5020	180	179	202	202
L5654	58	49	41	43
L3924	5354	5669	5241	5832
L3995	1284	1342	1334	1289
L1951	2123	2472	2637	2568
L7520	2464	2756	2751	2352
L3224	577	596	630	556
L3984	2529	2565	2722	2665
L3933	3178	3262	3257	3073
L3002	1341	1353	1441	1603
L2795	1622	1656	1637	1583
L2230	510	454	494	490
L2830	1200	1330	1279	1216
L8015	1688	1749	1658	1775
L2320	113	160	144	135
L2114	540	583	646	503
L0460	499	311	326	271
L3460	52	51	53	52
L3420	89	101	94	95
L4398	325	334	382	275
L5618	110	108	106	108
L0484	54	35	41	35
L5681	182	249	225	264
L3915	219	216	147	386
L3919	676	613	529	596
L5690	35	22	31	37
L1980	91	109	103	106
L6687	96	89	109	113
L6895	46	52	46	46
L3215	186	186	204	255
L5638	8	7	9	9
L3450	54	80	68	38
L5622	59	69	62	51
L0830	0	4	0	1
L3222	154	164	148	273
L0974	17	9	6	5
L4370	134	153	140	112
L2622	23	38	54	45
L5830	20	30	20	38
L3961	5	16	10	22
L0170	52	34	35	35
L5790	65	52	35	56
L4050	4	10	12	6
L5985	54	59	64	63
L2530	18	22	26	25
L5826	11	7	12	15
L7181	13	3	6	10
L5616	7	14	11	11
L5628	6	12	8	11
L6100	30	37	46	47
L0636	19	25	22	27
L6650	1	3	3	1
L5535	1	7	2	5
L2680	3	4	3	3
L1640	1	2	4	1
L0468	16	8	8	15
L8515	47	43	40	38
L1680	6	6	5	5
L5613	5	6	10	6
L5639	1	0	0	0
L6965	1	1	1	6
L7402	10	8	4	8
L2770	0	0	0	2
L0452	1	4	2	0
L5595	1	2	1	0
L6200	3	2	2	2
L3214	0	0	0	0
L5722	1	0	0	0
L3934	1	0	0	0
L3150	2	1	0	0
A4216	13477	12094	11673	11093
A4615	1364	959	1003	994
