PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014
E2395	0	0	0	2108	1824	2057	2264	2120	2427	2898
E0657	81	13	23	12	14	21	6	9	7	19
B4035	180573	171576	156653	150369	153953	146882	150873	145485	149095	142712
E2391	0	0	0	1462	1315	1103	1305	1146	925	1132
K0040	0	0	0	5540	4808	4711	5162	5499	5725	5732
E2366	8295	8932	9092	8763	7886	7793	7459	6414	7007	8600
Q4045	3	1	0	1	0	0	0	0	0	5
L7007	48	46	45	58	51	45	41	46	32	29
E0950	0	0	0	1288	1233	1282	1187	1179	1236	1134
A6235	1236	1204	1083	1124	1136	986	1034	1003	969	1005
A6215	18	23	32	26	35	45	21	36	21	22
E2213	0	0	0	2678	2514	2434	2620	2706	2908	2599
L6703	26	22	20	25	18	20	30	15	23	28
E0601	803275	808107	817405	826863	849406	843279	855063	837241	832617	806825
E2368	0	0	0	363	374	374	369	426	349	353
A5102	1567	1627	1598	1674	1499	1478	1541	1644	1466	1412
E0630	86835	85744	84489	0	0	0	0	0	0	0
A4320	4356	4143	4136	3941	4107	4112	4506	4235	4077	3530
Q4046	17	8	0	0	1	0	0	0	2	0
E1810	17660	16621	15799	0	0	0	0	0	0	0
B4082	0	0	0	37	52	51	40	46	29	37
E0471	37177	38481	39874	41608	44500	45015	46891	46394	46314	45104
E2203	0	0	0	1301	1225	1204	1283	1219	1498	1498
Q4051	78	62	13	2	6	4	1	4	14	4
E0135	15216	14209	13195	13013	13055	12155	10931	10536	10030	9771
K0822	26779	25829	24672	21748	19718	17487	14430	11154	10248	9311
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847
B4149	0	0	0	853	825	771	738	727	762	669
Q4038	101	173	71	4	9	7	1	4	8	14
E2209	0	0	0	1832	1735	1809	1684	1629	1638	1469
L6704	15	29	16	23	12	29	17	13	20	15
T4535	0	20	6	4	3	1	0	0	16	12
E0603	34	34	38	33	38	51	51	42	51	57
A7033	108218	115520	110931	117748	114697	122167	115033	126711	124161	134728
E0291	0	0	0	1	0	0	2	3	3	8
L6020	3	1	2	0	3	0	0	3	2	1
