PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
95800	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
95806	0	1	1	0	0	1	0	0	1	0	1	14	1	0	0	1	14	1	0	0
A4253	3415047	0	0	0	0	3400337	0	0	0	0	3349524	0	0	0	0	0	0	0	0	0
A4256	1115736	0	0	0	0	1113214	0	0	0	0	1098443	0	0	0	0	0	0	0	0	0
A4258	583187	0	0	0	0	586441	0	0	0	0	551716	0	0	0	0	0	0	0	0	0
A4259	1993005	0	0	0	0	1961657	0	0	0	0	1932340	0	0	0	0	0	0	0	0	0
A4310	16494	16083	15841	15929	0	16418	16407	15662	15577	0	16451	16333	16163	0	0	16468	15769	16057	0	0
A4311	4198	3389	2994	2982	0	3881	3156	2894	3124	0	3483	3352	2904	0	0	3523	3286	2934	0	0
A4314	38023	33401	31743	28788	0	37626	33527	30823	28515	0	36658	33438	30312	0	0	35953	32553	29949	0	0
A4320	4356	4107	4077	3347	0	4143	4112	3530	3274	0	4136	4506	3592	0	0	3941	4235	3358	0	0
A4323	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A4324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
A4326	1367	1867	2072	2376	0	1381	1815	2266	2235	0	1558	1902	2198	0	0	1684	2083	2453	0	0
A4338	24497	23743	23146	22052	0	23884	24071	22956	21852	0	24332	23925	23122	0	0	24002	23132	22620	0	0
A4340	3772	3806	3401	3538	0	3827	3768	3575	3702	0	3817	3690	3634	0	0	3831	3519	3576	0	0
A4344	5900	6264	5662	5559	0	6046	6112	5782	5286	0	6124	6152	5796	0	0	6255	5835	5725	0	0
A4349	30044	29192	27341	25625	0	30090	28603	26937	25429	0	29833	28630	26739	0	0	29873	28136	26185	0	0
