PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
95806	0	1	1	0	0	1	0	0	1	0	1	14	1	0	0	1	14	1	0	0
A4510	386	413	309	165	0	602	426	475	446	0	404	353	536	0	0	233	406	290	0	0
A4590	82	15	15	5	0	101	8	12	3	0	61	12	7	0	0	13	6	11	0	0
A6024	66	45	58	76	0	62	53	62	63	0	41	70	79	0	0	38	57	110	0	0
A6204	482	491	430	319	0	391	529	388	304	0	455	459	428	0	0	387	395	438	0	0
A6235	1236	1136	969	764	0	1204	986	1005	612	0	1083	1034	923	0	0	1124	1003	876	0	0
A6239	2	2	1	1	0	3	5	0	0	0	2	5	3	0	0	6	3	0	0	0
A6240	1611	2337	2963	1996	0	2047	3027	3308	878	0	2214	3305	3720	0	0	2256	2901	3490	0	0
A6245	31	106	94	32	0	38	104	111	34	0	64	147	92	0	0	81	130	60	0	0
A6246	12	11	28	1	0	21	6	16	7	0	10	2	8	0	0	7	5	8	0	0
A6254	248	241	259	238	0	262	232	283	296	0	244	242	431	0	0	258	248	275	0	0
A6255	109	120	152	71	0	123	102	132	70	0	121	120	115	0	0	128	208	95	0	0
A6534	883	778	701	628	0	909	952	851	762	0	905	945	818	0	0	995	904	935	0	0
A6536	272	344	241	161	0	252	310	246	182	0	315	280	238	0	0	367	282	234	0	0
A6538	5	10	4	3	0	12	13	9	3	0	3	8	6	0	0	6	7	3	0	0
A6541	10	21	7	1	0	11	23	8	9	0	17	9	9	0	0	19	27	10	0	0
B9000	0	175	101	74	0	0	169	108	72	0	0	157	118	0	0	166	97	94	0	0
K0851	85	61	26	13	0	84	55	34	15	0	80	29	19	0	0	80	20	20	0	0
L0113	0	0	29	34	0	0	0	53	35	0	0	50	51	0	0	0	48	39	0	0
L0190	0	0	48	20	0	0	0	60	30	0	0	48	40	0	0	0	41	29	0	0
L0210	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
L0220	0	0	239	93	0	0	0	235	97	0	0	246	188	0	0	0	244	117	0	0
L0452	0	0	0	2	0	0	0	1	0	0	0	2	3	0	0	0	2	1	0	0
L0468	0	0	15	14	0	0	0	23	15	0	0	20	26	0	0	0	31	17	0	0
L0488	0	0	9	10	0	0	0	7	4	0	0	9	10	0	0	0	14	11	0	0
