PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014	Q32014	Q42014
L6628	0	0	0	0	0	0	9	8	9	9	10	12
L3925	0	0	0	0	0	0	887	967	1017	1013	994	901
E0424	0	0	0	745	886	860	833	795	1019	1028	1017	961
A7037	422638	426523	403866	410645	397075	415076	378349	409933	391156	415823	440996	456125
L0630	0	0	0	0	0	0	1245	1111	843	934	779	781
L3465	0	0	0	0	0	0	8	8	12	13	7	3
E2365	45385	49412	45668	38243	30931	27745	23457	18858	17566	21933	22596	17314
L1950	0	0	0	0	0	0	192	166	151	168	223	184
L5990	0	0	0	0	0	0	45	51	42	68	48	48
A6530	10764	12245	12202	12182	10871	12887	12629	11989	10800	13232	13542	12629
A4324	0	0	0	0	0	0	0	2	0	0	0	0
E2311	2501	2781	2534	0	0	0	0	0	0	0	0	0
L1831	0	0	0	0	0	0	1781	1537	1516	1744	1525	1479
L6900	0	0	0	0	0	0	1	6	4	3	4	2
E0442	55825	56166	57020	57802	59302	58190	58682	55691	53847	49654	47256	44262
L0200	0	0	0	0	0	0	88	76	81	97	94	92
L6620	0	0	0	0	0	0	12	16	16	21	17	10
L2861	0	0	0	0	0	0	5	10	3	9	16	3
L0490	0	0	0	0	0	0	2	3	13	3	5	10
A7005	137740	124371	114572	0	0	0	0	0	0	0	0	0
L0454	0	0	0	0	0	0	110	117	97	99	85	71
L3590	0	0	0	0	0	0	0	6	1	4	5	2
L1755	0	0	0	0	0	0	0	0	0	1	0	0
L6687	0	0	0	0	0	0	96	94	82	81	83	90
L0636	0	0	0	0	0	0	86	90	38	45	31	31
E2394	0	0	0	3032	2664	2619	3052	3078	3506	3884	4250	3824
L7360	0	0	0	0	0	0	9	7	2	5	2	4
L1730	0	0	0	0	0	0	0	1	1	0	0	1
L2200	0	0	0	0	0	0	2308	2174	1861	2115	2256	2194
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847	6677	6330
L5321	1602	1729	1529	1683	1519	1636	1560	1645	1437	1661	1631	1665
