PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014	Q32014	Q42014
L3465	0	0	0	0	0	0	8	8	12	13	7	3
L6620	0	0	0	0	0	0	12	16	16	21	17	10
L0454	0	0	0	0	0	0	110	117	97	99	85	71
L1755	0	0	0	0	0	0	0	0	0	1	0	0
L0636	0	0	0	0	0	0	86	90	38	45	31	31
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847	6677	6330
L6320	0	0	0	0	0	0	1	0	1	1	0	0
L0624	0	0	0	0	0	0	3	1	3	6	3	1
L6689	0	0	0	0	0	0	4	4	5	9	6	4
L8510	0	0	0	0	0	0	15	18	10	17	11	6
L6605	0	0	0	0	0	0	4	7	9	6	3	5
L1920	0	0	0	0	0	0	49	48	35	52	35	33
L2570	0	0	0	0	0	0	9	5	8	10	7	5
L6640	0	0	0	0	0	0	0	0	0	5	1	0
L5711	0	0	0	0	0	0	6	5	5	5	3	4
L8680	0	0	0	0	0	0	4	2	20	54	3	2
Q4014	4	4	1	1	0	0	0	0	0	3	0	0
L8615	0	0	0	0	0	0	0	0	1	0	0	0
A6245	31	38	64	81	106	104	147	130	94	111	92	60
L6100	0	0	0	0	0	0	36	42	47	32	36	26
L1620	0	0	0	0	0	0	3	2	0	5	2	1
L5642	0	0	0	0	0	0	2	1	2	0	1	0
E2371	0	0	0	22	14	17	13	7	13	9	12	5
L3810	0	0	0	0	0	0	0	0	2	0	0	0
Q4010	44	61	9	1	1	3	5	3	9	9	11	1
T4541	1	5	5	4	9	4	5	5	19	29	17	9
L5790	0	0	0	0	0	0	80	76	73	80	62	58
L3967	0	0	0	0	0	0	0	1	0	4	1	1
L6638	0	0	0	0	0	0	3	4	5	8	4	4
L7261	0	0	0	0	0	0	19	14	13	20	14	5
L8043	0	0	0	0	0	0	2	5	2	1	2	0
L4100	0	0	0	0	0	0	45	54	40	72	45	41
L5250	0	0	0	0	0	0	3	6	3	5	0	4
L3674	0	0	0	0	0	0	16	13	12	3	7	3
L1650	0	0	0	0	0	0	4	5	11	6	2	8
L6690	0	0	0	0	0	0	3	4	7	7	3	5
E0656	216	31	23	28	32	41	20	21	18	18	13	9
L5782	0	0	0	0	0	0	44	31	33	55	36	34
L4040	0	0	0	0	0	0	1	4	5	6	3	1
E0660	69	74	72	73	94	62	64	37	37	40	35	25
L0467	0	0	0	0	0	0	0	0	2	7	4	3
L7402	0	0	0	0	0	0	5	8	10	13	9	9
L8621	0	0	0	0	0	0	1	0	1	1	1	0
L3740	0	0	0	0	0	0	69	66	74	90	65	60
L5420	0	0	0	0	0	0	1	3	5	5	0	3
L8044	0	0	0	0	0	0	4	5	6	8	2	3
A6246	12	21	10	7	11	6	2	5	28	16	8	8
L3510	73	92	88	95	81	82	79	65	68	67	47	58
L6550	0	0	0	0	0	0	1	3	2	2	1	2
L0130	0	0	0	0	0	0	50	31	39	46	29	35
L6616	0	0	0	0	0	0	25	35	39	40	27	23
L5710	0	0	0	0	0	0	4	6	5	6	4	2
L3640	0	0	0	0	0	0	1	0	5	0	0	2
A6208	23	26	21	33	31	24	29	28	15	6	5	9
K0814	0	0	0	1383	1288	1127	1012	867	696	544	380	203
B4104	76	51	32	39	48	65	78	56	74	70	58	48
L8465	0	0	0	0	0	0	44	57	54	80	50	56
L5160	0	0	0	0	0	0	3	5	3	3	3	1
L1630	0	0	0	0	0	0	3	1	1	1	0	0
L2188	0	0	0	0	0	0	2	4	3	3	1	3
L2310	0	0	0	0	0	0	10	9	11	8	3	6
L8616	0	0	0	0	0	0	0	0	1	0	0	0
L7900	0	0	0	0	0	0	14371	14030	13334	14798	8961	5303
L8415	0	0	0	0	0	0	14	16	14	18	6	14
L1120	0	0	0	0	0	0	10	5	9	6	5	6
L3140	0	0	0	0	0	0	0	2	2	3	0	0
L2770	0	0	0	0	0	0	0	1	2	0	0	1
L8045	0	0	0	0	0	0	9	16	15	10	14	5
L8485	0	0	0	0	0	0	69	78	59	58	44	46
L3973	0	0	0	0	0	0	4	5	4	7	3	2
L3730	0	0	0	0	0	0	83	86	96	80	55	60
L6632	0	0	0	0	0	0	18	12	15	19	10	15
L6684	0	0	0	0	0	0	9	10	14	17	10	11
L5510	0	0	0	0	0	0	2	5	1	3	1	0
L2627	0	0	0	0	0	0	4	5	6	7	5	3
L6711	0	0	0	0	0	0	2	5	4	0	1	1
L5686	0	0	0	0	0	0	29	38	30	42	24	30
E2360	0	0	0	9	14	19	11	10	14	23	8	2
L6580	0	0	0	0	0	0	2	2	4	1	2	2
L5726	0	0	0	0	0	0	1	0	1	0	0	0
L0978	0	0	0	0	0	0	2	2	4	4	1	3
L2010	0	0	0	0	0	0	7	3	7	5	4	2
L0810	0	0	0	0	0	0	4	7	5	7	3	3
A4490	31	55	60	62	100	80	39	77	45	29	41	17
L1848	0	0	0	0	0	0	0	0	6	21	3	5
L0190	0	0	0	0	0	0	48	41	48	60	40	29
L1640	0	0	0	0	0	0	5	0	7	2	3	1
E0433	0	0	0	118	137	84	58	42	40	34	23	22
