PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014	Q32014	Q42014
A4490	31	55	60	62	100	80	39	77	45	29	41	17
E0316	0	0	0	20	20	16	16	18	10	16	6	4
T4543	0	0	0	0	0	1	1	0	0	1	0	0
E0676	551	3537	4716	3250	2996	3295	4436	4832	4893	4476	4141	3136
L6703	26	22	20	25	18	20	30	15	23	28	8	18
L6709	2	6	1	5	1	5	2	4	2	5	1	4
E1031	0	0	0	16164	15569	14759	13608	11899	10297	8812	7744	7049
A6244	11	9	8	5	3	7	5	3	10	14	9	6
E2360	0	0	0	9	14	19	11	10	14	23	8	2
E0433	0	0	0	118	137	84	58	42	40	34	23	22
Q4038	101	173	71	4	9	7	1	4	8	14	10	3
L0637	19826	21875	22813	23722	24355	25806	25440	24527	18774	17384	15480	13196
A4590	82	101	61	13	15	8	12	6	15	12	7	11
T4523	2	0	1	0	0	1	0	1	18	10	8	6
Q4006	6	12	0	1	0	0	0	0	0	2	0	0
K0851	85	84	80	80	61	55	29	20	26	34	19	20
A6544	4	3	2	2	7	1	1	2	3	4	3	2
Q4051	78	62	13	2	6	4	1	4	14	4	3	6
K0813	0	0	0	130	106	88	70	45	45	42	25	28
E0310	0	0	0	1636	2091	1784	1993	1998	1873	1445	1436	1113
L0631	36508	38179	41384	43780	35237	36990	33942	32105	16416	13260	11271	9351
T4524	3	2	3	1	0	0	0	0	10	3	2	2
K0004	176635	170357	166020	160558	159760	153718	144701	129815	114240	94551	78824	67619
T4535	0	20	6	4	3	1	0	0	16	12	5	5
Q4014	4	4	1	1	0	0	0	0	0	3	0	0
A6245	31	38	64	81	106	104	147	130	94	111	92	60
E2371	0	0	0	22	14	17	13	7	13	9	12	5
T4541	1	5	5	4	9	4	5	5	19	29	17	9
L3923	8446	8584	7953	8233	8721	9181	8444	8238	8573	7847	6677	6330
Q4010	44	61	9	1	1	3	5	3	9	9	11	1
E0665	28	31	21	21	25	35	24	21	28	29	17	25
A6231	5079	4801	4376	3999	4078	4383	4838	4293	4522	4353	3722	3173
E0602	1	0	0	0	1	2	5	4	4	2	0	4
E0672	21	28	21	26	34	22	28	14	19	13	8	9
L6025	1	1	0	2	3	0	5	4	4	6	1	1
A6538	5	12	3	6	10	13	8	7	4	9	6	3
T4536	0	0	1	2	0	1	0	0	5	4	1	0
A6246	12	21	10	7	11	6	2	5	28	16	8	8
A6208	23	26	21	33	31	24	29	28	15	6	5	9
B4104	76	51	32	39	48	65	78	56	74	70	58	48
K0828	0	0	0	22	19	12	9	4	6	4	2	3
E2204	0	0	0	139	148	185	217	286	358	233	209	113
Q4046	17	8	0	0	1	0	0	0	2	0	0	0
Q4005	0	0	0	0	0	0	0	0	0	2	1	0
A4495	285	273	217	283	437	418	507	633	681	660	517	228
E0656	216	31	23	28	32	41	20	21	18	18	13	9
E0660	69	74	72	73	94	62	64	37	37	40	35	25
L3510	73	92	88	95	81	82	79	65	68	67	47	58
K0814	0	0	0	1383	1288	1127	1012	867	696	544	380	203
T4527	1	17	1	4	5	9	5	0	17	9	7	5
A6255	109	123	121	128	120	102	120	208	152	132	115	95
T4526	0	0	0	3	6	8	4	3	19	4	3	3
Q4045	3	1	0	1	0	0	0	0	0	5	0	0
A6232	39	50	58	56	42	46	52	62	68	89	51	53
T4528	1	2	1	1	3	1	2	2	10	3	2	4
