PROCEDURE_CODE	Q12012	Q22012	Q32012	Q42012	Q12013	Q22013	Q32013	Q42013	Q12014	Q22014	Q32014	Q42014
A4510	386	602	404	233	413	426	353	406	309	475	536	290
B4152	94287	92463	87660	86306	87131	85341	85967	86521	89285	87070	88563	86481
A6213	735	674	763	673	697	707	771	767	713	746	827	899
K0003	265437	260687	252763	244416	243678	235877	226733	214131	203749	190343	182523	175555
A4490	31	55	60	62	100	80	39	77	45	29	41	17
A6224	535	457	440	384	385	410	534	585	564	739	782	768
A6211	765	688	746	776	660	708	852	873	812	868	957	932
A4580	164	184	106	23	33	23	26	15	18	19	19	12
L6722	2	3	6	3	5	3	3	6	4	3	4	2
A7046	102877	108890	104971	110904	110184	118659	109541	123946	120609	137792	148129	158552
E0316	0	0	0	20	20	16	16	18	10	16	6	4
K0848	964	1017	887	0	0	0	0	0	0	0	0	0
E0720	11647	12721	10879	0	0	0	0	0	0	0	0	0
A6243	215	197	223	171	169	241	231	190	143	150	124	129
E1225	0	0	0	1388	1450	1352	1392	1460	1496	1460	1671	1660
A9277	331	391	398	491	496	505	596	765	743	750	752	773
E0940	0	0	0	11172	10867	10084	9883	9497	9040	8353	7936	7471
A6536	272	252	315	367	344	310	280	282	241	246	238	234
T4543	0	0	0	0	0	1	1	0	0	1	0	0
S9342	4	2	2	0	0	0	0	0	0	0	0	0
L0626	2610	2986	3022	2963	2850	3322	3201	3074	2516	2530	2361	2004
E0776	88580	84623	79407	75322	76307	72617	73416	62876	62353	59100	57137	53665
E2202	0	0	0	743	813	828	841	818	832	814	817	722
E0156	76594	86320	83036	77629	73425	85063	68095	62742	55522	69015	71390	64718
E2386	6253	6757	7118	7392	6443	6033	6859	6491	6468	7529	8098	7057
T4522	4	6	1	3	2	3	3	2	2	3	1	4
E2384	0	0	0	555	521	574	655	629	512	603	536	432
Q4034	0	0	0	0	0	0	1	0	0	0	0	0
K0823	309694	293481	267317	231497	200581	166730	122401	73947	67647	63148	62511	62851
K0007	21606	21353	20991	20656	21119	20534	19915	18641	18307	17550	17512	17229
E0911	0	0	0	477	502	427	387	372	376	334	324	274
B4034	65988	63101	59508	58822	60054	58223	57232	57683	60024	58874	59721	57498
E0277	37135	35901	33417	31310	31835	30819	29044	26734	25592	23630	22313	20739
B4162	69	52	59	43	49	76	74	110	99	82	93	102
E0676	551	3537	4716	3250	2996	3295	4436	4832	4893	4476	4141	3136
A6215	18	23	32	26	35	45	21	36	21	22	20	28
E1390	2996229	2798606	2644323	2577852	2715106	2596641	2674237	2550531	2638466	2532320	2560466	2466241
L6703	26	22	20	25	18	20	30	15	23	28	8	18
A4314	38023	37626	36658	35953	33401	33527	33438	32553	31743	30823	30312	29949
A4320	4356	4143	4136	3941	4107	4112	4506	4235	4077	3530	3592	3358
E0471	37177	38481	39874	41608	44500	45015	46891	46394	46314	45104	46621	48547
E0635	2330	2462	2682	2652	2378	2322	2267	2202	2040	2076	2167	2287
E2209	0	0	0	1832	1735	1809	1684	1629	1638	1469	1540	1471
E0470	145940	145775	144734	145166	149087	148229	150116	149239	147824	144906	147327	146409
L0120	5485	5423	5162	5062	5196	5154	5163	4861	4739	4965	5064	4775
