PROCEDURE_CODE	UNIT_mean	UNIT_median	PROCEDURES
-V210	1	1	1
0	1000	1000	2
00000	1	1	2
00004	45	56	6
00006	2	2	1
00007	1	1	1
00009			1
00012			1
00013	1	1	1
00014	1	1	1
0001F	1.0825688073	1	238
0001M	1	1	1
00026	1	1	1
00027	1	1	2
0002F	1	1	1
00033	2	2	1
00037	1	1	1
00055			1
0005F			2
00060			1
00063			1
0010			10
00101	4.4	3	5
00102	7.4615384615	7.5	26
00103	9.4864864865	8	38
00105	5.6	6	5
00108	1	1	3
0011			3
00114	3	3	2
00115	3	3	3
00118	2.7142857143	2	7
00120	6	6	1
00126			1
00142	83.071428571	95	35
00145			2
00148	1	1	2
00160			2
00195	1	1	1
0019T			1
0020			1
0021			2
00212	35.833333333	30	12
0023	11	11	1
0023Z	1	1	10
00264	1	1	14
0027	1	1	39
00300	295	295	7
00320	1	1	2
00338	6.24	1	25
00400	64.666666667	39	6
00409	1.1794871795	1	39
00487			1
00517	1	1	20
00532	55	55	2
00562	513.5	513.5	2
00630	343	343	1
00641	2	2	1
00658	1	1	26
00740	13.75	17.5	4
00750			2
00781	6	7	3
00797			1
00810	60.857142857	45	9
00830	238.5	238.5	2
00832	0	0	2
00836	1	1	1
00840	164.5	164.5	3
00910	195	195	2
00912	96	96	1
00920	31	31	2
00940			1
00952	74	74	6
011			4
01210	92	92	2
01260	55	55	1
0128			2
013			1
01302	30	30	1
01400	79	79	4
01402			1
01480	58	58	3
0151	1	1	1
0156	1	1	2
0159T	1	1	1
01610			2
01622			1
01630	282.5	282.5	5
01740			1
01810			1
01830	110	110	2
01844			2
01922	22	22	1
01924	120	120	1
01936			1
01961	64	64	2
01966	1	1	1
01967			1
0197T	1	1	2
01992	22	22	3
02	24	24	2
02/28	180	180	1
0212	48	48	2
0239T	1	1	2
0240	9.9210526316	10	114
0270	1.0952380952	1	71
0270T	1	1	1
02910	60	60	2
0296T	1	1	10
0297T	1	1	1
0298T	1	1	12
0308T	20	20	3
0315			1
04	15	15	8
0421	1	1	55
0424			5
0429			5
0431	1.0625	1	16
0441	1	1	26
05	20	20	1
0500F	1	1	12
0502F	1	1	92
0503F	1	1	45
0509F	1.12	1	287
0513F	1.1764705882	1	354
0517F	1	1	1
0518F	1.0111961613	1	15874
0521F	1.0894632207	1	7749
