PROCEDURE_CODE	UNIT_mean	UNIT_median	PROCEDURES
95800	1.3880532875	1	1
95806	1.110071158	1	29
A4310	2.8696609423	1	63605
A4311	1.3646112601	1	12526
A4314	1.8115715403	1	128557
A4320	5.3843137255	2	16348
A4324	37.111111111	30	2
A4326	51.708215297	35	8323
A4338	1.7019553073	1	93159
A4340	2.074010327	1	14185
A4344	2.555258467	1	23431
A4349	43.746064468	35	111044
A4351	159.69482228	120	448334
A4352	125.39218355	119	109561
A4353	149.123099	150	74660
A4354	2.9863013699	1	6341
A4357	2.2228969705	2	406290
A4358	2.4168305558	2	220199
A4362	29.048965937	20	71732
A4385	27.929248911	20	165384
A4389	30.758318739	20	20758
A4406	5.4435510519	4	176886
A4407	22.373175296	20	162898
A4409	23.708789088	20	164528
A4414	23.150054054	20	208714
A4419	84.77535014	60	78609
A4424	29.471146245	20	30477
A4425	26.981381178	20	123634
A4430	22.499629904	20	26189
A4432	23.905263158	20	98701
A4490	1.8888888889	1	190
A4495	1.1782178218	1	2481
A4500	1.8102189781	2	2750
A4510	5.6973684211	6	1543
A4554	107.64559023	100	65375
A4580	1	1	78
A4590	2.2008547009	1	45
A4604	1.0012707377	1	335932
A5063	25.117046118	20	223453
A5102	1.2684365782	1	6063
A5105	2.2674418605	3	1536
A6011	45.953125	30	1551
A6022	19.982608696	12	5497
A6023	89.236842105	42.5	549
A6024	1	1	247
A6198	20.25	25	140
A6199	36.531428571	30	15602
A6203	16.964757709	12	7334
A6204	19.011764706	12	1672
A6205	10.5	9.5	25
A6206	4.8333333333	4	714
A6207	6.4248927039	4	5675
A6208	59.936651584	30	78
A6211	16.568627451	12	3405
A6213	14.269565217	12	2997
A6214	16.078947368	13	1852
A6215	15	15	100
A6223	33.261515602	30	19382
A6224	22.341772152	18	2422
A6231	22.901898734	14	18006
A6232	30	30	271
A6233	81	90	133
A6234	11.695652174	10	26999
A6235	12.97080292	10	4011
A6236	14	12	595
A6237	11.41509434	10	5171
A6238	16.62	12	1201
A6239	14.5	10	9
A6240	4.9333333333	3	12477
A6241	13	6	152
A6242	22.027777778	21	5245
A6243	30.777777778	30	714
A6244	5	5	32
A6245	23.172413793	30	482
A6246	10	10	51
A6247	5	5	47
A6248	3.252310536	3	42928
A6251	56.544680851	30	8839
A6254	30.535714286	30	1032
A6255	26.565217391	7	612
A6256	1	1	16
A6257	24.386727689	10	11551
A6258	19.958477509	12	13171
A6259	18.678571429	12	991
A6530	2.8624188312	2	48650
A6531	2.6797608881	2	23010
A6532	2.2711864407	2	2340
A6533	2.4343122102	2	12909
A6534	2.5155279503	2	3401
A6535	2.2	1.5	323
A6536	2.4285714286	2	1049
A6537	1.75	2	176
A6538	3.3333333333	2	28
A6539	2.2522522523	2	2043
A6540	1.75	1	574
A6541	2	2	51
A6544	2.8823529412	1	10
A6545	1.5321428571	1	12944
A6549	1.9852941176	2	15778
A6550	10.546587216	10	146636
A7000	6.2632375189	5	185534
A7027	1	1	12707
A7028	3.0806451613	2	10884
A7029	2.9732937685	2	11802
A7030	1.0002747441	1	891200
A7031	1.6921853837	1	736992
A7032	3.2642520876	2	623585
A7033	3.3355785124	2	500633
A7034	1.000570697	1	1307396
A7035	1.0002984444	1	1618147
A7036	1.0022300931	1	154375
A7037	1.0015635276	1	1595261
A7038	3.6893006472	2	2171278
A7039	1.0090118623	1	713528
A7044	1	1	748
A7045	1.0236486486	1	5967
A7046	1.0039709945	1	491888
A9270	19.921898696	1	228863
A9276	53.099494098	30	12359
A9277	1.048	1	2854
B4034	26.869616597	30	233813
B4035	26.772302378	30	588165
B4036	26.980285855	30	54127
B4081	1.6153846154	1	115
B4082	1.4	1	152
B4083	1	1	61
B4087	1.4898876404	1	16699
B4088	1.5863636364	1	9391
B4100	127.07514451	72	4156
B4102	65.151515152	64	513
B4103	26.25	34	243
B4104	4.3333333333	3.5	278
B4149	235.45689655	236	2896
B4150	376.59094551	388	370654
B4152	461.90653378	480	348843
B4153	372.28133705	370	41631
B4154	389.31594127	410	213183
B4155	63.201197605	31	54177
B4157	203.27777778	283	932
B4158	278	278	85
B4160	206.78688525	142	1961
B4161	223.60869565	228	768
B4162	155.14285714	55	365
B9000	1.4838709677	1	463
B9002	1	1	235848
B9998	31.735294118	6	3022
E0130	1	1	545
E0135	1.0425347222	1	41268
E0140	1	1	650
E0141	1	1	3918
E0143	1.0000914913	1	795291
E0147	1	1	3207
E0148	1	1	3201
E0149	1	1	18554
E0154	1.0970350404	1	13434
E0155	1.0226628895	1	6543
E0156	1.0001371554	1	255374
E0157	1.4761904762	1	245
E0158	1	1	1286
E0159	1.2188940092	1	5938
E0193	1	1	620
E0250	1.0006671114	1	39651
E0251	1	1	614
E0255	1	1	43670
E0256	1	1	1496
E0260	1	1	1673964
E0261	1	1	94863
E0271	1.001270648	1	15490
E0272	1	1	3527
E0277	1	1	105000
E0280	1	1	42
E0290	1	1	116
E0291			16
E0292	1	1	267
E0293	1	1	49
E0294	1.0025062657	1	10526
E0295	1	1	13986
E0301	1	1	4873
E0302	1	1	485
E0303	1	1	39089
E0304	1	1	1704
E0305	1.0053191489	1	10047
E0310	1.0227272727	1	7309
E0316	1	1	60
E0371	1	1	1187
E0372	1	1	2414
E0373	1	1	664
E0424	1	1	3675
E0431	1.0084647638	1	4415358
E0433	1	1	174
E0434	1	1	262207
E0439	1.0004320028	1	206320
E0441	1.6	1	1154
E0442	1.057678245	1	217874
E0443	1.0186215865	1	745825
E0444	1.0181146359	1	207079
E0450	1.0019821606	1	18422
E0461	1	1	2719
E0463	1	1	42750
E0464	1	1	81080
E0470	1	1	592085
E0471	1.0009351621	1	184703
E0472	1	1	250
E0561	1	1	1358
E0562	1.0000185079	1	1056380
E0601	1.0000708562	1	3331746
E0602	2.5171866737	1	15
E0603	1	1	201
E0604	1	1	96
E0635	1	1	8585
E0650	2.8875739645	1	2856
E0651	1.0753623188	1	21627
E0652	1	1	2796
E0655	1	1	414
E0656	1	1	77
E0657	1	1	41
E0660	1.1764705882	1	178
E0665	1	1	102
E0666	1.0322580645	1	642
E0667	1.4649837134	1	24194
E0668	1.0434782609	1	2249
E0669	1.2666666667	1	1237
E0670	1	1	15
E0671	1.375	1	345
E0672	1	1	74
E0673	1.0632911392	1	26037
E0675	1	1	19591
E0676	1.0377358491	1	18637
E0776	1.0054054054	1	257745
E0784	1	1	127579
E0910	1	1	131681
E0911	1	1	1469
E0912	1	1	14193
E0935	13.266736842	16	90802
E0940	1	1	36773
E0950	1	1	4736
E0951	1.219121354	1	91380
E0955	1.0007936508	1	32542
E0956	1.7988668555	2	16583
E0957	1.2058823529	1	1659
E0960	1	1	5863
E0961	1.2844669118	1	82219
E0971	1.2010726626	1	347407
E0973	1.298454642	1	157525
E0978	1.0014209591	1	106704
E0990	1.1986143187	1	24466
E0992	1	1	2207
E1016	1.8780487805	2	707
E1020	1.0310559006	1	6563
E1028	1.2099468489	1	64211
E1031	1	1	44616
E1038	1	1	219628
E1225	1	1	5808
E1226	1	1	39573
E1390	1.0167337826	1	10395554
E1391	1	1	1923
E1392	1.005411652	1	769136
E2201	1	1	18498
E2202	1	1	3305
E2203	1	1	5498
E2204	1	1	1094
E2206	1.6615384615	2	7599
E2208	1	1	13849
E2209	1.1407624633	1	6420
E2210	4.3101449275	4	7142
E2211	1.8328912467	2	7444
E2213	1.8938679245	2	10833
E2231	1.007518797	1	10470
E2360	2	2	58
E2361	1.9486607143	2	35384
E2362	2	2	48
E2363	1.9899713467	2	14585
E2364	2	2	173
E2365	1.9375755135	2	81814
E2366	1.0047425474	1	29480
E2367	1	1	542
E2368	1.2162162162	1	1497
E2369	1.1666666667	1	599
E2370	1.3819004525	1	22989
E2371	1.5	1.5	42
E2381	1.8957345972	2	4010
E2383	1.7872340426	2	913
E2384	2.1304347826	2	2399
E2386	2.0546623794	2	27347
E2387	1.9440993789	2	10790
E2391	2.2976190476	2	4508
E2392	2.3962790698	2	21043
E2394	1.9223484848	2	13520
E2395	2.2531328321	2	9709
E2396	1.9278350515	2	3643
E2402	1	1	126353
E2601	1.0004147083	1	130109
E2602	1	1	5406
E2603	1.012345679	1	13080
E2604	1	1	1000
E2605	1	1	3321
E2606	1	1	222
E2607	1	1	13139
E2608	1	1	993
E2611	1	1	63256
E2612	1	1	1958
E2613	1	1	4488
E2614	1	1	145
E2615	1.0045248869	1	4780
E2616	1	1	270
E2620	1	1	14083
E2621	1	1	551
K0001	1.0001028901	1	1718664
K0002	1	1	75256
K0003	1	1	834956
K0004	1	1	483307
K0006	1	1	98178
K0007	1	1	74413
K0015	1.6733333333	2	3259
K0019	1.6576642336	2	26293
K0040	1.625163827	2	22118
K0052	1.2533333333	1	13108
K0053	1.0427807487	1	10854
K0056	1	1	7186
K0069	1.8214285714	2	1530
K0070	1.953271028	2	2410
K0077	1.9095022624	2	4644
K0195	1.0000374251	1	971186
K0462	1.0115979381	1	33081
K0738	1.0000787629	1	826275
K0800	1	1	9803
K0801	1	1	1202
K0802	1	1	48
K0813	1	1	202
K0814	1	1	3119
K0815	1	1	747
K0816	1	1	10106
K0820	1	1	224
K0821	1	1	7937
K0822	1	1	45143
K0823	1	1	327143
K0824	1	1	5269
K0825	1	1	44543
K0826	1	1	608
K0827	1	1	2801
K0828	1	1	23
K0829	1	1	33
K0851	1	1	109
L0120	1.0041237113	1	19728
L0172	1.0022075055	1	9607
L0626	1	1	11321
L0627	1	1	62781
L0631	1	1	95723
L0637	1	1	86125
L1800	1.2848484848	1	2
L1810	1.1835952472	1	53024
L1820	1.0773553719	1	67571
L1830	1.009155646	1	41874
L1832	1.1069054653	1	96256
L1843	1.0902654867	1	37036
L1845	1.0426966292	1	22901
