PROCEDURE_CODE	PROCEDURES_MEI	PROCEDURES_CMSDME	PROCEDURES_SWITCH	UNIT_mean_cmsdme	UNIT_median_cmsdme	UNIT_mean_switch	UNIT_median_switch
-V210			1			1	1
0			2			1000	1000
00000		2	17	1	1	4.5454545455	4
00004			6			45	56
00006			1			2	2
00007			1			1	1
00009			1				
00012			1				
00013			1			1	1
00014			1			1	1
0001F			238			1.0825688073	1
0001M			1			1	1
00026			1			1	1
00027			2			1	1
0002F			1			1	1
00033			1			2	2
00037			1			1	1
00055			1				
0005F			2				
00060			1				
00063			1				
0010			10				
00101			5			4.4	3
00102			26			7.4615384615	7.5
00103			38			9.4864864865	8
00105			5			5.6	6
00108			3			1	1
0011			3				
00114			2			3	3
00115			3			3	3
00118			7			2.7142857143	2
00120			1			6	6
00126			1				
00142			35			83.071428571	95
00145			2				
00148			2			1	1
00160			2				
00195		1		1	1		
0019T			1				
0020			1				
0021			2				
00212			12			35.833333333	30
0023			1			11	11
0023Z			10			1	1
00264			14			1	1
0027			39			1	1
00300			7			295	295
00320			2			1	1
00338			25			6.24	1
00400			6			64.666666667	39
00409			39			1.1794871795	1
00487			1				
00517			20			1	1
00532			2			55	55
00562			2			513.5	513.5
00630			1			343	343
00641			1			2	2
00658			26			1	1
00740			4			13.75	17.5
00750			2				
00781			3			6	7
00797			1				
00810			9			60.857142857	45
00830			2			238.5	238.5
00832			2			0	0
00836			1			1	1
00840			3			164.5	164.5
00910			2			195	195
00912			1			96	96
00920			2			31	31
00940			1				
00952			6			74	74
011			4				
01210			2			92	92
01260			1			55	55
0128			2				
013			1				
01302			1			30	30
01400			4			79	79
01402			1				
01480			3			58	58
0151			1			1	1
0156			2			1	1
0159T			1			1	1
01610			2				
01622			1				
01630			5			282.5	282.5
01740			1				
01810			1				
01830			2			110	110
01844			2				
01922			1			22	22
01924			1			120	120
01936			1				
01961			2			64	64
01966			1			1	1
01967			1				
0197T			2			1	1
01992			3			22	22
02			2			24	24
02/28			1			180	180
0212			2			48	48
0239T			2			1	1
0240			114			9.9210526316	10
0270			71			1.0952380952	1
0270T			1			1	1
02910			2			60	60
0296T			10			1	1
0297T			1			1	1
0298T			12			1	1
0308T			3			20	20
0315			1				
04			8			15	15
0421			55			1	1
0424			5				
0429			5				
0431			16			1.0625	1
0441			26			1	1
05			1			20	20
0500F			12			1	1
0502F			92			1	1
0503F			45			1	1
0509F			287			1.12	1
0513F			354			1.1764705882	1
0517F			1			1	1
0518F			15874			1.0111961613	1
0521F			7749			1.0894632207	1
0540F			15			1	1
0550			4			1	1
0551			220			69.341013825	120
0552			18			1	1
0556F			17			1	1
0561			5			1	1
0570			5			3.6	4
0572			73			10.178082192	8
0581			4			2	2
0582			82			1.012195122	1
06			4			10.75	10
0600			13				
0608			1			112	112
06122			1			6	6
0612H			1				
0614			1			1	1
0618H			7				
0623			10			1	1
0651			28			1	1
07			2			58	58
07091			1				
07116			24			1	1
0730		1		1	1		
08			1			1	1
0805			1				
0823K			1			1	1
09042			1			192	192
09201			1				
09847			1			1	1
09999			6			1	1
1			5			13.25	1
10			2				
10/08			1				
100			7			10	10
10000			1				
1000F			817			1	1
1001			1			1	1
10019			11			1	1
1001F			1				
10021			8			1	1
10022			54			1	1
1002F			132			1.097826087	1
10030			7			1	1
10037			1			1	1
1003F			16076			1	1
10040			6			5.5	5.5
1004F			2			1	1
1005F			43			1	1
10060			1582			1.3613376835	1
10061			338			1.3914893617	1
1006F			67			8.6271186441	10
1007F			33			1	1
10080			5			1	1
10081			7			1	1
1008F			13			1	1
10095			1			1	1
1010F			2				
1011F			4			1	1
10120			43			1	1
10121			4			1	1
1012F			447			1	1
10132			2			1	1
10140			241			1.4473684211	1
1015F			101			1	1
10160			69			4.375	1
10171			1			10	10
10180			1				
1018F			61			1	1
1019			3			4	4
1019F			4			1	1
1021Z			434			28.304147465	32
1022F			573			1	1
1023			5			7.4	6
1023Z			147			1	1
1024			1				
1025			1			23	23
1026F			13			1	1
1027			1				
10308			2			474	474
1030F			564			1	1
1031F			395			1	1
1032F			29			1	1
1033F			53			1	1
1034F			436			1	1
1035F			130			1	1
1036F			3848			1.1662680412	1
1038F			67			1	1
1039F			14			1	1
10407			1			1	1
1040F			87			1.2571428571	1
1060F			1				
1090F			25689			1.0248716936	1
1091F			278			1	1
11/22			1			36	36
11000			720			2.0194174757	1
11001			21			1	1
1100F			3046			1.6183693517	1
11010			32			1	1
11011			35			1	1
11012			38			1	1
1101F			8260			1.0200688073	1
11040			9			1	1
11042			2809			1.149545237	1
11043			360			2.0848214286	1
11044			124			1.3636363636	1
11045			230			1.6344086022	1
11046			23			2.0454545455	1
11047			21			3.25	4
11052			1				
11055			7315			1.0735	1
11056			16793			1.1460594932	1
11057		2	5794	1	1	1.2513446421	1
1106F			1			1	1
1108F			1			1	1
111-1			3			100	100
11100			1888			4.1373260738	1
11101			344			3.6212624585	1
1110F			229			1	1
11111			1			1	1
1111F			11899			1.0282845425	1
11170		1		75	75		
11200			76			5.5	5.5
11201			2			10	10
1123F			2626			1.010492228	1
1124F			6965			1.0019088017	1
1125F			20465			2.874614792	1
1126F			30917			2.598969555	1
1128F			1			1	1
11300			12			5	2
11301			30			4.3181818182	1
11302			25			6	10
11303			1				
11305			284			1.1674008811	1
11306			241			1.1090047393	1
11307			28			1.52	1
11308			23			1	1
1130F			1			1	1
11310			7			4	1
11311			12			7.5454545455	10
11312			8			7.75	10
114-6			1				
11400			4			1	1
11401			5			1	1
11402			13			2	1
11403			2			1	1
