"CODE"	"UNIT_mean.x"	"UNIT_median.x"	"PROCEDURES.x"	"UNIT_mean.y"	"UNIT_median.y"	"PROCEDURES.y"
"3"	"00001"	1	1	1	0.1	0.1	0.1
"27"	"00193"	100	100	1	0.1	0.1	0.1
"32"	"00260"	1	1	1	0.1	0.1	0.1
"78"	"02601"	1	1	1	0.1	0.1	0.1
"86"	"03390"	1	1	1	0.1	0.1	0.1
"119"	"`0730"	1	1	1	0.1	0.1	0.1
"121"	"081RR"	1	1	1	0.1	0.1	0.1
"291"	"12191"	1	1	1	0.1	0.1	0.1
"294"	"12303"	1	1	2	0.1	0.1	0.1
"300"	"1390"	1	1	2	0.1	0.1	0.1
"422"	"21110"	1	1	1	0.1	0.1	0.1
"579"	"2C126"	20.75	6	4	0.1	0.1	0.1
"633"	"31579"	1	1	1	0.1	0.1	0.1
"639"	"3272"	1	1	1	0.1	0.1	0.1
"694"	"39947"	1	1	1	0.1	0.1	0.1
"721"	"4036C"	30	30	1	0.1	0.1	0.1
"751"	"421"	0.1	0.1	0.1	0.1	0.1	13
"768"	"431"	0.1	0.1	0.1	0.1	0.1	2
"807"	"50156"	1	1	1	0.1	0.1	0.1
"810"	"50395"	1	1	2	0.1	0.1	0.1
"832"	"55120"	6	6	1	0.1	0.1	0.1
"862"	"58427"	1	1	1	0.1	0.1	0.1
"971"	"66983"	2	2	1	0.1	0.1	0.1
"1068"	"730"	1	1	1	0.1	0.1	0.1
"1239"	"80356"	150	150	1	0.1	0.1	0.1
"1690"	"92070"	1	1	1	0.1	0.1	0.1
"2315"	"A0143"	1	1	1	0.1	0.1	0.1
"2317"	"A0156"	1	1	1	0.1	0.1	0.1
"2321"	"A0163"	1	1	1	0.1	0.1	0.1
"2365"	"A270C"	1	1	1	0.1	0.1	0.1
"2786"	"A5502"	6	6	1	0.1	0.1	0.1
"3006"	"A7040"	1	1	1	0.1	0.1	0.1
"3123"	"A!GE8"	1	1	1	0.1	0.1	0.1
"3541"	"E0451"	1	1	1	0.1	0.1	0.1
"3772"	"E1017"	2	2	1	0.1	0.1	0.1
"3999"	"E2372"	4	4	1	0.1	0.1	0.1
"4079"	"E4595"	1	1	1	0.1	0.1	0.1
"4537"	"H/GHO"	100	100	1	0.1	0.1	0.1
"4686"	"J1120"	7	7	1	0.1	0.1	0.1
"4992"	"J7603"	72	72	1	0.1	0.1	0.1
"4997"	"J7610"	2	2	1	0.1	0.1	0.1
"5007"	"J7628"	56	56	1	0.1	0.1	0.1
"5012"	"J7643"	4	4	1	0.1	0.1	0.1
"5030"	"J8561"	205.57692308	180	208	0.1	0.1	0.1
"5077"	"J9228"	125	125	4	0.1	0.1	0.1
"5089"	"J9307"	42	42	1	0.1	0.1	0.1
"5237"	"K0570"	1	1	1	0.1	0.1	0.1
"5273"	"K0744"	5	5	3	0.1	0.1	0.1
"5348"	"KO195"	1	1	1	0.1	0.1	0.1
"5369"	"L0171"	1	1	2	0.1	0.1	0.1
"6043"	"L5722"	1	1	1	0.1	0.1	0.1
"6215"	"L6915"	2	2	1	0.1	0.1	0.1
"6273"	"L8043"	1.5	1.5	2	0.1	0.1	0.1
"6340"	"L8631"	1	1	1	0.1	0.1	0.1
"6602"	"Q4118"	30	30	1	0.1	0.1	0.1
"6603"	"Q4119"	21	21	1	0.1	0.1	0.1
"6661"	"RXCMF"	1	1	1	0.1	0.1	0.1
"6729"	"S0935"	1	1	1	0.1	0.1	0.1
"7238"	"V2021"	1	1	1	0.1	0.1	0.1
"7304"	"V2318"	1.8	2	5	0.1	0.1	0.1
"7314"	"V2499"	1	1	8	0.1	0.1	0.1
"7317"	"V2503"	1	1	2	0.1	0.1	0.1
"7349"	"V2716"	2	2	1	0.1	0.1	0.1
"7363"	"V2758"	2	2	1	0.1	0.1	0.1
"7368"	"V2770"	1	1	1	0.1	0.1	0.1
"7384"	"V5000"	2	2	1	0.1	0.1	0.1
"7424"	"V5500"	1	1	1	0.1	0.1	0.1
"7428"	"V9270"	1	1	1	0.1	0.1	0.1
"7643"	"ZZ???"	1	1	1	0.1	0.1	0.1
