SL_NAME	CODE_GROUP_NAME	CODE_GROUP_SET
Allergy_and_Immunology	Allergy_and_Immunology_px	Allergy_and_Immunology__Allergen_immunotherapy,Allergy_and_Immunology__Allergy_and_Clinical_Immunology_Procedures,Allergy_and_Immunology__Allergy_and_Clinical_Immunology_Procedures_Add_On,Allergy_and_Immunology__Allergy_testing,Allergy_and_Immunology__Immunization_Administration_Fee_Add_On
Anesthesia	Anesthesia_px	Anesthesia__Anesthesia_Procedures,Anesthesia__Anesthesia_Procedures_Add_On
Bariatric_Surgery	Bariatric_Surgery_px	Bariatric_Surgery__Bariatric_Surgery_laparoscopic,Bariatric_Surgery__Bariatric_Surgery_open
Behavioral_Health	Behavioral_Health_px	Behavioral_Health__Detoxification_Services_for_Substance_Abuse_Treatment,Behavioral_Health__Electroconvulsive_therapy,Behavioral_Health__Health_and_Behavior_Assessments,Behavioral_Health__Individual_Psychotherapy,Behavioral_Health__Psychiatric_diagnosis_or_evaluation,Behavioral_Health__Psychiatric_diagnosis_or_evaluation_Add_On,Behavioral_Health__Psychiatric_services,Behavioral_Health__Psychiatric_services_Add_On,Behavioral_Health__Psychotherapy,Behavioral_Health__Psychotherapy_Add_On,Behavioral_Health__Therapeutic_repetitive_transcranial_magnetic_stimulation_TMS_treatment
Bladder_Procedure	Bladder_Procedure_px	Bladder_Procedure__Repair_of_the_bladder,Bladder_Procedure__Surgical_Procedures_on_the_Bladder_Other
Bone_Density	Bone_Density_px	Bone_Density__Bone_Density_Measurement_Procedures
Bone_Marrow_or_Stem_Cell	Bone_Marrow_or_Stem_Cell_px	Bone_Marrow_or_Stem_Cell__Bone_marrow_or_stem_cell_transplant,Bone_Marrow_or_Stem_Cell__Surgical_Procedures_on_the_Bone_Marrow
Bowel_resection	Bowel_resection_px	Bowel_resection__Bowel_resection_laparoscopic,Bowel_resection__Bowel_resection_laparoscopic_Add_On,Bowel_resection__Bowel_resection_open,Bowel_resection__Bowel_resection_open_Add_On
Breast_Imaging	Breast_Imaging_px	Breast_Imaging__Breast_Imaging,Breast_Imaging__Breast_Imaging_Add_On
Breast_Surgery	Breast_Surgery_px	Breast_Surgery__Breast_reconstruction,Breast_Surgery__Mastectomy,Breast_Surgery__Other_Procedures_on_the_Integumentary_System,Breast_Surgery__Other_Radiation_Therapy_Procedures_Add_On,Breast_Surgery__Repair_Closure_Procedures_of_the_Integumentary_System_Flaps_and_Grafts,Breast_Surgery__Repair_Closure_Procedures_of_the_Integumentary_System_Flaps_and_Grafts_Add_On,Breast_Surgery__Surgical_Procedures_on_the_Breast_Other,Breast_Surgery__Surgical_Procedures_on_the_Breast_Other_Add_On,Breast_Surgery__Surgical_Procedures_on_the_Musculoskeletal_System_of_the_Abdomen_Back_and_Flank
