SL_NAME	CODE_GROUP	SETTINGS	AGE_BANDS
Allergy_and_Immunology	Allergy_and_Immunology__Allergen_immunotherapy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Allergy_and_Immunology	Allergy_and_Immunology__Allergy_and_Clinical_Immunology_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Allergy_and_Immunology	Allergy_and_Immunology__Allergy_and_Clinical_Immunology_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Allergy_and_Immunology	Allergy_and_Immunology__Allergy_testing	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Allergy_and_Immunology	Allergy_and_Immunology__Immunization_Administration_Fee_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Anesthesia	Anesthesia__Anesthesia_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Anesthesia	Anesthesia__Anesthesia_Procedures_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bariatric_Surgery	Bariatric_Surgery__Bariatric_Surgery_laparoscopic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bariatric_Surgery	Bariatric_Surgery__Bariatric_Surgery_open	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Detoxification_Services_for_Substance_Abuse_Treatment	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Electroconvulsive_therapy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Health_and_Behavior_Assessments	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Individual_Psychotherapy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychiatric_diagnosis_or_evaluation	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychiatric_diagnosis_or_evaluation_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychiatric_services	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychiatric_services_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychotherapy	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Psychotherapy_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Behavioral_Health	Behavioral_Health__Therapeutic_repetitive_transcranial_magnetic_stimulation_TMS_treatment	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bladder_Procedure	Bladder_Procedure__Repair_of_the_bladder	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bladder_Procedure	Bladder_Procedure__Surgical_Procedures_on_the_Bladder_Other	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bone_Density	Bone_Density__Bone_Density_Measurement_Procedures	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bone_Marrow_or_Stem_Cell	Bone_Marrow_or_Stem_Cell__Bone_marrow_or_stem_cell_transplant	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bone_Marrow_or_Stem_Cell	Bone_Marrow_or_Stem_Cell__Surgical_Procedures_on_the_Bone_Marrow	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bowel_resection	Bowel_resection__Bowel_resection_laparoscopic	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
Bowel_resection	Bowel_resection__Bowel_resection_laparoscopic_Add_On	ip,op,office,asc	0-3,4-11,12-17,18-64,65+
