CODE_GROUP	SSL_DIR	SL_DIR
Endocrinology_EndocrinologyDiagnosis_Dx	Endo_Dx_Px_PxDx	Endo_ServiceLine_PxDx
Endocrinology_DiabType1_Dx	Endo_Subservice_PxDx	Endo_ServiceLine_PxDx
Endocrinology_DiabType2_Dx	Endo_Subservice_PxDx	Endo_ServiceLine_PxDx
Endocrinology_DiabetesManagement_Px	Endo_Subservice_PxDx	Endo_ServiceLine_PxDx
Endocrinology_EndocrinologyProcedures_Px	Endo_Dx_Px_PxDx	Endo_ServiceLine_PxDx
ENT_Ear_Px	ENT_EarNoseOtherPx_PxDx	ENT_ServLine_PxDx
ENT_Nose_Px	ENT_EarNoseOtherPx_PxDx	ENT_ServLine_PxDx
ENT_OtherENT_Px	ENT_EarNoseOtherPx_PxDx	ENT_ServLine_PxDx
ENT_Throat_Px	ENT_ThroatTonsilPx_PxDx	ENT_ServLine_PxDx
ENT_TonsilsAdenoidsProcedures_Px	ENT_ThroatTonsilPx_PxDx	ENT_ServLine_PxDx
GeneralMedicine_Hyperlipidemia_Dx	GenMed_Hyperlipidemia_PxDx	GenMed_DxServLine_PxDx
GeneralMedicine_Hypertension_Dx	GenMed_Hypertension_PxDx	GenMed_DxServLine_PxDx
GeneralMedicine_Rheumatology_Dx	GenMed_Rheum_PxDx	GenMed_DxServLine_PxDx
GeneralMedicine_InfectiousDisease_Dx	GenMed_Subservice1_PxDx	GenMed_DxServLine_PxDx
GeneralMedicine_PVD_Dx	GenMed_Subservice1_PxDx	GenMed_DxServLine_PxDx
GeneralMedicine_MiscellaneousServices_Px	GenMed_MiscServ_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_Immunization_Px	GenMed_Subservice1_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_InfusionTransfusion_Px	GenMed_Subservice1_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_PainManagement_Px	GenMed_Subservice1_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_Allergy_Px	GenMed_Subservice2_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_FineNeedleAspiration_Px	GenMed_Subservice2_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_WoundCare_Px	GenMed_Subservice2_PxDx	GenMed_PxServLine_PxDx
GeneralMedicine_Venipuncture_Px	GenMed_Venipuncture_PxDx	GenMed_PxServLine_PxDx
