NPI #	PTAN/Medicare #	Home State Medicaid #		ORGNAME	ADDRESS1	ADDRESS2	CITY	STATE	ZIP	PHONE1	PHONE2	FAX1	NPI
1851715817				BCP GROUP	102 WOODMONT BLVD	 SUITE 120	NASHVILLE	TN	37205				1851715817
1568764751	5748770004	DE3372		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	3227 SUNSET BLVD	 BUILDING E	WEST COLUMBIA	SC	29169	8039265519		8039265521	1568764751
1942477344	5748770003	1511922		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	100 KENNER AVENUE		NASHVILLE	TN	37205	6157127261		6157127264	1942477344
1134332059	5748770002	1533341		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	705 N 2ND STREET		CLARKSVILLE	TN	37040	9316455741		9316455165	1134332059
1952598088	5748770001	1455099		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	921 SOUTH WILLOW AVENUE	 SUITE B	COOKEVILLE	TN	38501	9315200244		9315200241	1952598088
1699102475	5748770007	1534257		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	3443 DICKERSON PIKE	 SUITE 310	NASHVILLE	TN	37207	6154542484		6154542486	1699102475
1861515686	0630320001	3551516		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	503 SPRUCE ST		NASHVILLE	TN	37203	6153279343		6153294871	1861515686
1265869036	0630320002	1533989		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	416D MEDICAL CENTER PKWY		MURFREESBORO	TN	37129	6158648799		6157127264	1265869036
1982988390	5748770005	3235145		BULOW ORTHOTIC AND PROSTHETIC SOLUTIONS	4410 MEDICAL DRIVE	 SUITE 210	SAN ANTONIO	TX	78229	2106144077		2106144075	1982988390
1942398078	4151040001	145930701		BAKER ORTHOTICS & PROSTHETICS	810 LIPSCOMB STREET		FORT WORTH	TX	76104	8173327313		8173353604	1942398078
1730625997				BAKER ORTHOTICS & PROSTHETICS	1475 RICHARDSON DR		RICHARDSON	TX	75080	2143777155		2143777335	1730625997
				BAKER ORTHOTICS & PROSTHETICS	631 MATLOCK CENTRE CIR		ARLINGTON	TX	76015				
1528469764	4151040002	PENDING		BAKER ORTHOTICS & PROSTHETICS	1311 RECORD CROSSING ROAD		DALLAS	TX	75235	9723485295		9726927533	1528469764
