CLIA	NPI	NPI_CLM_CNT	CLIA_CLM_CNT	TOTAL_CLM_CNT	NPI_FAC_NAME	NPI_CITY	NPI_STATE	CLIA_FAC_NAME	CLIA_CITY	CLIA_STATE
	1003016577	3		3	BAYLOR PATHOLOGY CONSULTANTS	PORT ARTHUR	TX	NA	NA	NA
	1427154335	10		10	CATHOLIC MEDICAL CENTER	MANCHESTER	NH	NA	NA	NA
	1003027673	1		1	SUNBRIDGE HARBOR VIEW REHABILITATION CENTER	LONG BEACH	CA	NA	NA	NA
	1841657681	1		1	PHYSICIAN'S LABORATORY OF MIDWEST CITY, LLC	MIDWEST CITY	OK	NA	NA	NA
	1003036245	2		2	THE JAMES B. HAGGIN MEMORIAL HOSPITAL	HARRODSBURG	KY	NA	NA	NA
	1003037201	1		1	NA	NA	NA	NA	NA	NA
	1003051855	350		350	FAIRPARK SCC LLC	DALLAS	TX	NA	NA	NA
	1003058744	3		3	YORK COUNTY ENDOSCOPY CENTER LLC	ROCK HILL	SC	NA	NA	NA
	1003061821	18		18	SOUTH LIMESTONE HOSPITAL DISTRICT	HOUSTON	TX	NA	NA	NA
	1003062274	95		95	ADVANCED SURGICAL CARE OF BATON ROUGE,LLC	BATON ROUGE	LA	NA	NA	NA
	1003064874	256		256	ARDEN COURTS OF SAN ANTONIO TX LLC	SAN ANTONIO	TX	NA	NA	NA
	1003078403	951		951	REPROSOURCE FERTILITY DIAGNOSTICS, INC	WOBURN	MA	NA	NA	NA
	1003092545	13		13	NA	NA	NA	NA	NA	NA
	1003098906	50		50	LIFEHOUSE SAN DIEGO OPERATIONS, LLC	SAN DIEGO	CA	NA	NA	NA
	1427251743	1		1	NORTH ALABAMA EMERGENCY PHYSICIANS LLC	SHEFFIELD	AL	NA	NA	NA
	1003111592	88		88	CLASSIC DRIVE HEALTHCARE AND REHAB	SAN ANTONIO	TX	NA	NA	NA
	1003126665	2		2	NA	NA	NA	NA	NA	NA
	1003127606	1		1	MEMORIAL HERMANN ENDOSCOPY CENTER NORTH FREEWAY LLC	HOUSTON	TX	NA	NA	NA
	1003129826	6		6	NA	NA	NA	NA	NA	NA
