CLIA	NPI	NPI_CLM_CNT	CLIA_CLM_CNT	TOTAL_CLM_CNT	NPI_FAC_NAME	NPI_ADDR_1	NPI_ADDR_2	NPI_CITY	NPI_STATE	NPI_ZIP	CLIA_FAC_NAME	CLIA_ADDR_1	CLIA_ADDR_2	CLIA_CITY	CLIA_STATE	CLIA_ZIP
	1003016577	3		3	BAYLOR PATHOLOGY CONSULTANTS	2501 JIMMY JOHNSON BLVD	SUITE 208	PORT ARTHUR	TX	776402000	NA	NA	NA	NA	NA	NA
	1427154335	10		10	CATHOLIC MEDICAL CENTER	100 MCGREGOR ST		MANCHESTER	NH	031023730	NA	NA	NA	NA	NA	NA
	1003027673	1		1	SUNBRIDGE HARBOR VIEW REHABILITATION CENTER	490 W 14TH ST		LONG BEACH	CA	908132943	NA	NA	NA	NA	NA	NA
	1841657681	1		1	PHYSICIAN'S LABORATORY OF MIDWEST CITY, LLC	9230 E RENO AVE	SUITE B	MIDWEST CITY	OK	731303337	NA	NA	NA	NA	NA	NA
	1003036245	2		2	THE JAMES B. HAGGIN MEMORIAL HOSPITAL	464 LINDEN AVE		HARRODSBURG	KY	403301882	NA	NA	NA	NA	NA	NA
	1003037201	1		1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
	1003051855	350		350	FAIRPARK SCC LLC	2815 MARTIN LUTHER KING JR BLVD		DALLAS	TX	752152320	NA	NA	NA	NA	NA	NA
	1003058744	3		3	YORK COUNTY ENDOSCOPY CENTER LLC	164 GLENWOOD DRIVE		ROCK HILL	SC	297322865	NA	NA	NA	NA	NA	NA
	1003061821	18		18	SOUTH LIMESTONE HOSPITAL DISTRICT	15015 CYPRESS WOODS MEDICAL DR		HOUSTON	TX	770141461	NA	NA	NA	NA	NA	NA
	1003062274	95		95	ADVANCED SURGICAL CARE OF BATON ROUGE,LLC	7310 PERKINS ROAD		BATON ROUGE	LA	70808	NA	NA	NA	NA	NA	NA
	1003064874	256		256	ARDEN COURTS OF SAN ANTONIO TX LLC	15290 HUEBNER RD		SAN ANTONIO	TX	782311737	NA	NA	NA	NA	NA	NA
