NPI	CLIA	NPI_POID_20160725	CLIA_POID_20160725
1841241833	04D0465809	POD6F586	POHAVTH5
1811991227	10D0267611	POB20G50	PO1T40R9
1649273434	45D1027165	PO6JB1G5	POC8MQ10
1013905439	17D0648343	POVVWU18	PO1AC4A7
1659702181	03D0864619	POTWM8U1	POM935R7
1073813846	39D0656992	PO4XUX21	PO772DX0
1962522201	45D0500002	POT0NJR7	POFQAX33
1629021845	45D0504924	PO06QAM4	POAJ4U20
1508001561	23D0366712	PO0FBHH4	POAPKHE0
1922074434	24D0404292	PO0QHM11	POW0HEG4
1861404121	41D0083868	POEJQ4J8	POCT2UC5
1851391924	45D0482320	PO1087G4	POPNKMX7
1336155738	28D0679413	PO5FBN89	POCBM637
1053373894	45D0881398	POFE30N3	POFQJH09
1104016088	26D0652086	POMPXG30	POJGRDV4
1942374517	15D1002565	POWBNVT9	PO55EBG5
1134178999	50D0684007	PO0GVT08	PO08Q8J4
1306074711	14D0430674	PO4F9VA3	PO7UP574
1811997711	05D0550302	PODPNPU9	PO2BC6N2
1801863329	05D0643077	PO05QFV0	POJ2M6G4
1679698633	18D1100471	POVVA757	PO7QM6H1
1336211705	05D0684230	PO1TMQT5	PO5Q5J87
1376513754	05D0668540	POHQCRQ5	PO2B6E79
1477519718	17D0451188	PO5J1CA0	POCCJ4W3
1447250253	45D0051832	PO40V6W1	PO03HHR4
1447345830	14D0889196	POT1C0B6	PO194H14
1962572396	26D0045374	PO02DEP8	PO694KE7
1205880846	17D1014312	PO5DA131	POKG1PD6
1881784056	52D1009037	POC23U57	PO0AU181
1578526695	33D0140288	PO9FBT31	POUQ1VP8
1669402947	49D0661086	PODRJH85	POK1P6C4
1386662914	46D0524377	POUXADT5	POKW2F57
1891748877	39D0701243	PO82XB57	POBV8AE2
1881719706	49D0967342	POX628M1	PO1EW850
1649223645	45D0504456	POPVJCP4	PO0HV0Q6
1598970790	17D0648205	PORHWF75	POGF2GH2
1528075108	33D0008369	POPUFWA2	POJX7DE6
1467615039	36D0855634	POW598N7	POT0U4D8
1992147656	02D1086842	POUPE2M2	PO0KCE57
1043282338	44D0313396	POX30G07	POPP40J2
1558300525	42D0957316	POG1MJR1	POVE3TC9
1417947490	29D0932908	PO010449	PO7RAKC6
1497897565	52D0990643	POUVF6N5	POJ45605
1932434925	45D0667465	POMB19E0	POMMEQH6
1467536276	50D0631879	POX709B7	POJ5BU38
1134165970	36D0346847	PO9AK454	POBJV099
1033285044	32D0534957	PO1WG7P5	PO8FXJ37
1326002049	50D0631935	POFQDHW0	POVNWJ60
1689874893	45D1099976	POX0QVG7	POURQ9J6
1811170210	02D0640332	PO3UVAX9	PO80CTB0
1750569661	37D0992537	POD8UE72	POPWK3Q7
1033251350	52D0990641	POCJFHR5	POK032Q8
1639102650	44D1084906	POX81QE3	POKC96D8
1891892097	51D2026060	POFHU1N9	POQT0F81
1811141781	36D0665877	PO4XDCC3	POJ7JBR6
1801935879	26D0652448	PO4KGN78	PONFAN24
1326104613	45D0660150	POR4U220	POKVPU78
1124160601	52D1105971	POKB91E3	POKQN4H1
1255763504	03D2061035	PO2NU7D2	PORM6F98
1487830733	34D0655345	PO7F4G83	PO7PD6Q2
1326117003	19D0049026	PO6K91E4	PO2Q0088
1659352276	05D0571200	PO0KXNA4	POT0R4T5
1356445969	37D0857182	POF3VND9	POP74PG9
1609156900	35D0655613	POTKTMQ5	PO9B36W3
1497843940	01D0026808	POF7F5T6	PO0NT797
1124396387	16D0384201	PO0282R8	PORRFK97
