NPI	CLIA	NPICNT	CLIACNT	TOTAL_CNT
1134277494	31D0652945	5,200,956	63,514	5,264,470
1194769497	45D0505003	4,023,033	59,418	4,082,451
1235234402	33D0159701	980,252	10,773	991,025
1902059538	38D0625165	672,492	3,878	676,370
1871665000	10D0992445	666,018	2,188	668,206
1871665000	10D2078201	666,018	1	666,019
1255314704	10D0289827	603,005	53,555	656,560
1376587113	33D0654120	571,073	25,385	596,458
1750373908	31D0938156	557,411	1,665	559,076
1659352276	05D0571200	494,173	58,476	552,649
1346285988	36D0331864	515,124	5,548	520,672
1659352276	05D0571204	494,173	1,001	495,174
1538144910	34D0655059	302,133	188,425	490,558
1205834769	33D0653618	471,073	3,281	474,354
1548370745		459,153		459,153
1710916945		450,117		450,117
1952488066	14D1033727	335,084	92	335,176
1063497451	31D0125232	196,084	109,201	305,285
1538144910	34D0954530	302,133	636	302,769
1255335535	10D0645475	263,007	33,038	296,045
1376548271	46D0523979	262,443	11,527	273,970
1932184322	36D0327333	187,025	83,866	270,891
1134195357	12D0664165	260,260	9,240	269,500
1881630614	14D0417052	214,291	48,346	262,637
1811997711	05D0550302	223,257	36,657	259,914
1679518971	21D0220805	230,727	4,526	235,253
1730149709	10D0689679	205,278	24,731	230,009
1982681953	31D0106549	221,019	4,175	225,194
1467433292	45D0975010	217,677	6,595	224,272
1043256886	29D0652720	203,491	18,275	221,766
1720048143	36D0345875	212,844	60	212,904
1346233277		212,425		212,425
1619376316	45D2082195	197,772	15	197,787
1780620526	05D0643352	169,648	22,811	192,459
1366479099	05D0642827	125,569	65,852	191,421
1437135886	34D0655059	1,211	188,425	189,636
1891731626	10D0291120	88,825	93,328	182,153
1780620526	05D0644251	169,648	3,912	173,560
1326104613	45D0660150	139,454	24,346	163,800
1811069685	36D0656094	154,496	506	155,002
1790721538	45D0697943	96,434	54,396	150,830
1811154388		143,332		143,332
1346271251	44D0915029	133,516	10	133,526
1982728036	36D0347539	129,338	3	129,341
1447296272	49D0221801	85,980	41,601	127,581
1366479099	05D0939429	125,569	1,766	127,335
1215921549	33D0912240	126,347	724	127,071
1124075635		123,812		123,812
1780983023		123,771		123,771
1538105366	03D0528878	66,748	56,102	122,850
1760781082	45D1043700	114,334	6,356	120,690
1043282841	33D0687350	114,111	5,138	119,249
1477522910	22D0957540	113,711	4,289	118,000
1124079561	22D0689168	113,339	4,257	117,596
1619980430		111,856		111,856
1952381477	10D0645438	101,668	3,902	105,570
1427320399		104,675		104,675
	34D0932172		102,522	102,522
1952381477	10D0682918	101,668	37	101,705
1952381477	10D0682919	101,668	18	101,686
1619913449	05D0644209	49,957	50,429	100,386
1518903350	10D0277334	59,831	38,412	98,243
1295726032	01D0301471	17,852	79,188	97,040
1104045749	05D0571200	38,483	58,476	96,959
1124097829		96,387		96,387
1770529513	37D0960030	80,557	14,655	95,212
1841339918	11D0255931	32,233	62,968	95,201
1386626083	01D0668455	93,271	657	93,928
1932145778	31D0696246	8,885	82,662	91,547
1043397292		90,824		90,824
1518090448	01D0641541	71,942	16,045	87,987
1932166386	11D0255931	22,745	62,968	85,713
1205872041	39D0204404	29,347	55,122	84,469
1841242542		82,828		82,828
1770529513	37D0987653	80,557	334	80,891
1265418669	45D0480381	26,038	54,368	80,406
1124130653	05D0643352	57,542	22,811	80,353
1033203393	45D0660475	79,894	57	79,951
1942274865	28D1025245	73,267	3,912	77,179
1568425809		76,466		76,466
1821017880		74,793		74,793
1881666741	36D0346613	69,246	3,400	72,646
1902809940		72,034		72,034
1780631432		70,490		70,490
1659390763	05D0642827	4,440	65,852	70,292
1871627067	19D0463379	68,783	379	69,162
1124024922	31D0961672	42,975	24,762	67,737
1346389764	14D0416537	64,373	2,495	66,868
1194062448	22D0076229	41,767	23,361	65,128
1720328693	11D0255931	4	62,968	62,972
1942247705	45D2051233	62,910	57	62,967
1124130653	05D0644251	57,542	3,912	61,454
1053314146	23D0709666	52,417	8,570	60,987
1114315793		60,856		60,856
1861438608	05D0608832	43,784	16,474	60,258
1891981742	39D0204404	3,951	55,122	59,073
1760579825	11D0930302	47,579	11,489	59,068
1609263706		57,266		57,266
1215219860		57,053		57,053
1609812445	17D0648226	18,403	38,627	57,030
1093792350	24D0404292	51,488	4,914	56,402
1518071067	06D0665252	55,120	423	55,543
1952373953		54,865		54,865
1336160217	31D0909259	54,035	779	54,814
1649248626		52,943		52,943
1700141439		52,635		52,635
1053785345	05D0644209	1,634	50,429	52,063
1023084340	34D0996909	47,804	4,143	51,947
1437299963		51,515		51,515
1194062448	22D2051942	41,767	9,384	51,151
1861568784	05D0981414	50,268	640	50,908
1396782363	14D0435808	45,694	4,712	50,406
1730151317	45D0916982	48,057	565	48,622
1730151317	45D1066386	48,057	128	48,185
1265587000	33D0931673	32,384	15,710	48,094
1588712020		47,615		47,615
1174925440	45D2083658	47,449	135	47,584
1952347791	22D0076229	23,855	23,361	47,216
1366720906	05D2032812	46,598	29	46,627
1740262880	03D0528350	11,970	33,675	45,645
1679507594		44,773		44,773
1538131362	39D0698461	40,471	3,562	44,033
1679525919	36D0656094	43,154	506	43,660
1790869402		43,515		43,515
1962481820	45D0908676	40,110	3,286	43,396
1245307818	21D0218877	2,847	40,204	43,051
1780633289	36D0346481	42,648	1	42,649
1265774095	49D0221801	380	41,601	41,981
1477513273		41,692		41,692
1053342816	36D0350966	41,668	4	41,672
1881679751	45D0663318	5,310	36,262	41,572
1629209853	49D1100708	16,365	24,995	41,360
1770850414	05D2013691	40,985	4	40,989
1902894512		40,307		40,307
1952327256		39,796		39,796
1447682380	05D0596114	35,176	4,345	39,521
1104045749	05D0571204	38,483	1,001	39,484
1588621957		39,402		39,402
1740361690		39,162		39,162
1932361789		39,119		39,119
1568893592	17D0648226	452	38,627	39,079
1184917924	35D0655616	35,901	3,116	39,017
1356540710	17D0648226	132	38,627	38,759
1720279805	05D1071362	23,733	14,970	38,703
1760630354	36D0966776	38,113	3	38,116
1497933162	05D1078705	2,088	35,740	37,828
1851455646	28D0944195	36,341	1,415	37,756
1699849786	14D0897314	33,849	3,749	37,598
1396719431	14D0044738	34,275	2,828	37,103
1447345830	14D0889196	34,883	2,124	37,007
1780600510	45D1000696	33,828	3,116	36,944
1215936927		36,762		36,762
1174558431	10D0645095	36,488	196	36,684
1306025697	10D0938449	32,369	3,837	36,206
1770521403	45D0483328	35,731	459	36,190
1841339918	11D1096780	32,233	3,856	36,089
1255383097	36D0337191	35,391	683	36,074
1184917924	35D0655613	35,901	4	35,905
1346313749		35,706		35,706
1114222817	23D2018899	35,660	12	35,672
1780694372		34,783		34,783
1063734739	36D1032987	31,141	3,532	34,673
1467420448		34,493		34,493
1730159138	45D1013682	30,727	3,666	34,393
1518113042	50D0634252	34,380	1	34,381
1932148947		34,150		34,150
1134306483		34,035		34,035
1801826680		33,807		33,807
1891770806	51D0234254	30,404	2,861	33,265
1952347791	22D2051942	23,855	9,384	33,239
1326311721	43D0906417	32,224	587	32,811
1467433763		32,761		32,761
1306025697	10D1041929	32,369	8	32,377
1134191927	33D0961556	30,365	1,589	31,954
1194797993	07D1035411	31,302	417	31,719
1982694931	46D0523979	19,839	11,527	31,366
1578535456	36D0656067	30,615	700	31,315
1700297926		31,065		31,065
1407024508	45D1027949	20,249	10,653	30,902
1205872041	39D0903558	29,347	1,532	30,879
1568461572	19D0463554	30,471	2	30,473
	52D0661926		30,440	30,440
1326310491		30,439		30,439
1982685178		30,387		30,387
1699961086	10D0288349	27,662	2,513	30,175
1770688129	05D1056694	21,880	8,243	30,123
1912957986	38D0626706	19,102	10,369	29,471
1043352990		29,041		29,041
1386624518	17D1027743	28,722	197	28,919
1861413023	05D0957076	27,090	1,793	28,883
1215003603	05D1018272	27,679	937	28,616
1104829159		28,500		28,500
1336128164	36D0656050	27,707	557	28,264
1588093165	33D0147522	9	28,167	28,176
1104828938	34D0952253	13,650	14,151	27,801
1699961086	10D0969130	27,662	25	27,687
1174569909	07D0093126	1,887	25,710	27,597
1669515391		27,434		27,434
	44D0889744		27,432	27,432
1255571428	33D1093401	26,726	483	27,209
1487632998	21D0969951	26,675	148	26,823
1932166386	11D1096780	22,745	3,856	26,601
1104016088	26D0652092	20,408	5,824	26,232
1619940517	10D0275299	25,823	367	26,190
1487657573	10D0964885	23,829	2,142	25,971
1124085576	23D0664147	14,063	11,725	25,788
1285607416		25,736		25,736
1750364345	05D0679751	9,381	16,293	25,674
1669476032	31D0105811	19,885	5,668	25,553
1144321951	18D0664431	24,938	419	25,357
1841332780	22D1042991	24,215	784	24,999
1629059746	05D0609849	24,419	2	24,421
1407806144		24,117		24,117
1720361173	10D2034532	22,726	1,342	24,068
1811036833	39D0656976	8,186	15,648	23,834
1477602639	05D0668637	16,042	7,654	23,696
1275685539		23,593		23,593
1629360540		23,488		23,488
1821060641		23,428		23,428
1164462925	21D0218885	22,094	1,160	23,254
1548280852	39D0919598	8,681	14,425	23,106
1932413002		22,987		22,987
	26D1041510		22,398	22,398
1598766495	19D0460969	22,343	1	22,344
1154415024	52D0397106	22,025	7	22,032
1720004450	06D0516683	21,994	18	22,012
1811978166	39D0657071	21,630	295	21,925
1326108903		21,785		21,785
1154353639		21,674		21,674
	36D0346978		21,395	21,395
1912914144	36D0656401	17,757	3,299	21,056
1619009388		21,043		21,043
1104016088	26D0652086	20,408	4	20,412
1780689463		20,373		20,373
1962479360		20,346		20,346
1598747651	06D0680595	3,543	16,596	20,139
1285651638	45D0994183	13,444	6,597	20,041
1578898631		19,950		19,950
1891892097	51D2026060	19,532	353	19,885
1205896594	26D0652373	323	19,530	19,853
1003968579	19D0916834	19,797	1	19,798
1245494517	05D1075048	18,812	827	19,639
1699734640		19,343		19,343
1073599478	50D0630157	7,013	12,270	19,283
1164494142	52D0661946	18,185	914	19,099
	31D1059710		18,994	18,994
1407820889	10D0294870	18,253	737	18,990
1093953523	05D0591084	16,875	1,870	18,745
1598798597		18,708		18,708
1003950585	05D0542735	17,983	553	18,536
1215930987	12D0620308	9,213	9,316	18,529
1588805451	10D1094068	16,942	1,518	18,460
1841236684	39D0656976	2,714	15,648	18,362
1487610804	39D0694814	17,803	538	18,341
1649593609		18,262		18,262
1396781134	06D0514225	2,816	15,380	18,196
1285618447	23D0380021	17,868	321	18,189
1740240753	05D1018666	16,395	1,789	18,184
1366543795	33D0653792	729	17,220	17,949
1245561349	34D2002428	1,044	16,780	17,824
1518155068	31D1037117	17,131	445	17,576
1497805733	03D0980494	16,669	847	17,516
1487602736		17,374		17,374
1184621716	33D0166941	9,492	7,878	17,370
1619040284	39D0656976	1,634	15,648	17,282
1851370910		17,231		17,231
1477500015	19D0464748	16,670	490	17,160
1215914288	34D0655205	14,965	2,164	17,129
1083635163	23D0650611	16,327	775	17,102
1811036833	39D0938116	8,186	8,900	17,086
1427120336	23D0859096	9,874	7,199	17,073
1043216682	05D0914812	5,824	11,190	17,014
1225074065	33D0662981	22	16,944	16,966
1801833496	05D0610690	11,744	5,108	16,852
1346479169	05D1102604	16,799	5	16,804
1942317656		16,723		16,723
1154618742	45D1009162	14,290	2,278	16,568
1124170691		16,524		16,524
1043565021	31D2050943	15,303	1,168	16,471
1962489237	05D0663070	14,076	2,266	16,342
1407060411	50D1067441	15,516	781	16,297
1316109267	05D0679751	1	16,293	16,294
1740281393		16,262		16,262
1356443741	37D0960030	1,450	14,655	16,105
1851697858	45D2018765	14,583	1,389	15,972
1831219484	45D2024561	15,792	168	15,960
1568730851	45D0498326	15,892	6	15,898
1235431289	11D2017949	6,486	9,352	15,838
1396858791		15,770		15,770
1225110497	31D1041265	60	15,656	15,716
1578520946	39D0656976	28	15,648	15,676
1174698468		15,609		15,609
1316919079	15D1002565	14,459	1,103	15,562
1912049016	52D0397671	15,445	98	15,543
1689652216	42D1008880	14,606	898	15,504
1760658371	36D1023688	14,949	473	15,422
1093796096		15,390		15,390
1902095284		15,299		15,299
1598911885	34D0241781	12,867	2,422	15,289
1184734246	16D0955321	14,000	1,271	15,271
1730185455	01D0956857	15,052	20	15,072
1891778346	52D0397685	12,513	2,459	14,972
1154618742	45D0665458	14,290	670	14,960
1396821427		14,954		14,954
1619972254	36D0350049	4,423	10,525	14,948
1023306347		14,911		14,911
	37D2031514		14,807	14,807
1720342884	19D2044330	952	13,720	14,672
1194919324		14,631		14,631
1003810375	05D0608765	2,621	11,908	14,529
1295743060	33D0654099	14,236	210	14,446
1518232487	45D2038396	12,587	1,630	14,217
1366539595	21D1057101	13,751	454	14,205
1316983158	50D0633094	5,236	8,779	14,015
1871636605	52D0968924	13,992	14	14,006
1720066079	05D1037343	13,184	797	13,981
1134152986		13,896		13,896
1902131857	50D0661605	1,761	12,005	13,766
1205824737		13,512		13,512
1073642641	05D0917432	12,956	526	13,482
1447557822	05D2016898	13,288	29	13,317
1295823540	10D0707800	27	13,272	13,299
1356645295	10D2020310	10,449	2,718	13,167
1659373900	14D0427920	22	13,094	13,116
1881891711	39D1023963	11,618	1,348	12,966
	07D0094387		12,887	12,887
1528031226		12,785		12,785
1124166574	10D0292613	11,689	1,084	12,773
1124050380	05D0866459	4,585	7,996	12,581
1205063294		12,516		12,516
1982940862	19D2050143	11,903	382	12,285
1033540174	50D0630157	6	12,270	12,276
1487639381	24D0665278	8,844	3,311	12,155
1033117338	50D0661605	86	12,005	12,091
1134165970	36D0346847	5,013	7,026	12,039
1033285044	32D0534957	2,031	10,002	12,033
1881937373	34D2062004	11,842	142	11,984
1982952180	37D2047994	11,646	335	11,981
1891767844	26D1043646	11,469	466	11,935
1659440485		11,875		11,875
1437599164	05D2044828	11,660	205	11,865
1497897581	52D0388443	11,753	101	11,854
1609961390	21D0015136	11,358	484	11,842
1326071424	33D0940977	11,606	185	11,791
	44D1008678		11,731	11,731
1225035132	20D0649533	8,741	2,953	11,694
1417283623	33D1103254	9,389	2,298	11,687
1639160799	19D0464754	11,684	1	11,685
1053398099		11,633		11,633
1841236684	39D0938116	2,714	8,900	11,614
1508863713	07D0670185	10,931	592	11,523
1710983671	05D1001858	11,027	433	11,460
1396810057		11,419		11,419
1932109675	52D0391886	2,912	8,462	11,374
1093756157	06D0986268	6,548	4,785	11,333
1356326409	10D1018854	354	10,910	11,264
1801874227		11,250		11,250
1912953357		11,235		11,235
1215216759		11,160		11,160
1073698478	04D0469213	7,206	3,864	11,070
1619270683	03D1057628	10,768	222	10,990
1982606992	05D0592241	307	10,605	10,912
1043676182		10,751		10,751
1033281126	33D0692030	9,996	706	10,702
1750368700	34D0655205	8,511	2,164	10,675
1548230501	17D0985294	2,978	7,642	10,620
1225036346		10,612		10,612
1356645295	10D2034314	10,449	161	10,610
1093952384	52D0876165	10,509	75	10,584
1467552471		10,540		10,540
1619040284	39D0938116	1,634	8,900	10,534
1730459025	05D0925263	10,146	379	10,525
1861404121	41D0083868	6	10,509	10,515
1174517353	33D0654949	6,106	4,362	10,468
1942223029		10,468		10,468
1154485944		10,420		10,420
1265437644	19D2048536	10,323	84	10,407
1174690887	41D0709206	10,312	66	10,378
1851363253	37D0980824	10,126	226	10,352
1265437644	19D0457944	10,323	7	10,330
1164455010	21D0665398	9,487	765	10,252
1629024740	50D1026614	9,570	647	10,217
1124090154		10,214		10,214
1245274950	36D0655991	10,201	9	10,210
	23D2071262		10,043	10,043
1760428247	11D1066992	9,389	646	10,035
1124196456		9,985		9,985
	36D0338636		9,982	9,982
1487706214	19D0049226	9,887	17	9,904
1114929494		9,843		9,843
1215917588	19D0461807	8,754	1,034	9,788
1811939887		9,707		9,707
1164455010	21D2011729	9,487	162	9,649
1942241351	35D0655616	6,497	3,116	9,613
1164455010	21D0722438	9,487	70	9,557
1972549855	19D0461791	9,531	3	9,534
1295723229	19D0694441	9,405	3	9,408
1821290669		9,379		9,379
1699782722	44D1083455	241	9,132	9,373
1124417357	44D1083455	180	9,132	9,312
1912142019	45D1009162	6,954	2,278	9,232
1437596855		9,209		9,209
1265714091	22D2027531	8,837	367	9,204
1750636676	11D0255349	8,329	816	9,145
1467602805	31D1087913	9,126	11	9,137
1902865868	05D0941934	8,205	856	9,061
1043361934		9,037		9,037
	15D0665318		9,013	9,013
1649247974		8,987		8,987
1225278906	34D1092392	1,254	7,721	8,975
1548208440	38D0628506	3,453	5,490	8,943
1578520946	39D0938116	28	8,900	8,928
1114963956		8,918		8,918
1477556876	34D0999131	6,344	2,537	8,881
	39D0183896		8,838	8,838
1720409154	15D2070292	8,804	23	8,827
1205026002	39D1074950	8,528	292	8,820
1205880846	17D1014312	8,517	298	8,815
1962450452		8,724		8,724
1285886515	05D0610690	3,590	5,108	8,698
1760523856	50D0980559	8,110	573	8,683
1124035316	34D0970784	7,967	599	8,566
1922177732	39D0197898	8,017	545	8,562
1396840187	51D0898048	8,410	108	8,518
1932414463	23D0717193	450	7,969	8,419
	17D1027382		8,416	8,416
1184798720		8,407		8,407
1679518724	36D0965797	7,772	569	8,341
1285621631	10D0269502	4	8,333	8,337
1790772317	10D0269502	1	8,333	8,334
1275533085	05D0642839	3,747	4,578	8,325
1245226190		8,288		8,288
1043298474	17D2051495	8,073	102	8,175
1043298474	17D0452625	8,073	81	8,154
1033322466	39D0657424	5,296	2,829	8,125
1538112230	52D0395666	8,081	6	8,087
1013086727		8,067		8,067
1255428736		8,054		8,054
	31D1041975		8,054	8,054
1861763658	15D2036560	1,441	6,584	8,025
1518935337		7,956		7,956
1720306566	45D2004217	6,765	1,186	7,951
1720295215		7,949		7,949
1942374517	15D1002565	6,805	1,103	7,908
1023103710		7,825		7,825
1861687907	28D0679424	7,266	532	7,798
1194892463		7,786		7,786
1255672176		7,753		7,753
1093080962	45D2037362	7,244	417	7,661
1043271539	39D0987158	3,801	3,853	7,654
1366459570	33D0653799	7,560	80	7,640
1912142019	45D0665458	6,954	670	7,624
1649555814	33D2026264	7,527	95	7,622
1871685628	16D0387097	7,295	298	7,593
1679578439	45D0483323	6,347	1,211	7,558
1801142435		7,558		7,558
1740310226		7,556		7,556
1164432290		7,542		7,542
1629084702		7,417		7,417
1467492975	51D0235176	7,403	2	7,405
1598970618	10D0886381	6,290	1,102	7,392
1720033947	45D0505060	7,239	136	7,375
1063646446	05D0644214	5,108	2,254	7,362
1699858373	44D0690507	502	6,817	7,319
1154474344	32D0534750	6,129	1,175	7,304
1134191323	10D0023780	6,915	382	7,297
1154474245	10D0297391	13	7,284	7,297
1063556017	39D1055009	6,903	379	7,282
1417980566	06D0516445	7,247	26	7,273
	20D0088763		7,238	7,238
1073698478	04D2047101	7,206	22	7,228
	39D0193451		7,223	7,223
1528006103		7,211		7,211
	33D1018138		7,206	7,206
1417950106		7,188		7,188
	39D0195442		7,156	7,156
1467400929	36D0339480	6,797	356	7,153
1346223377	23D0650651	6,005	1,127	7,132
1902191364	17D0452730	6,482	607	7,089
1154370443	45D0508004	7,076	6	7,082
1649241084	15D0357169	1,174	5,908	7,082
1578535514	26D1034369	7,017	45	7,062
1033154026	36D1022163	6,956	68	7,024
1073599478	50D2066879	7,013	5	7,018
1720084551	33D0146535	1	7,010	7,011
1164413597	18D0326854	6,786	208	6,994
1588971899	45D2006571	1,341	5,619	6,960
	31D0933244		6,914	6,914
1659301349		6,912		6,912
1922343623	44D2049386	6,221	683	6,904
1194126920	06D2082857	6,879	12	6,891
1598192460		6,882		6,882
1154376085	45D0478993	6,232	613	6,845
1932362555	10D0276553	6,836	3	6,839
1083777163		6,838		6,838
1194100735	22D1083041	1,006	5,746	6,752
1861447179		6,750		6,750
1558609008		6,746		6,746
1023150026		6,709		6,709
	10D0988376		6,676	6,676
1144202003	14D0945905	3,022	3,648	6,670
1700220589		6,665		6,665
1285672204	21D0696888	6,582	61	6,643
1942213087		6,637		6,637
1194782409	17D0450154	1,134	5,430	6,564
1851454011		6,528		6,528
1104851625		6,514		6,514
1942241351	35D0655613	6,497	4	6,501
1235239211		6,494		6,494
1003155896		6,475		6,475
1578608535		6,463		6,463
1013051119		6,458		6,458
1699921296	38D0656873	5,847	603	6,450
1356345946	14D0430746	8	6,396	6,404
1144223009	24D0651415	5,598	803	6,401
1346475167		6,388		6,388
1043583537	43D0906417	5,800	587	6,387
1104122365	45D1043700	3	6,356	6,359
