NPI	NPICNT	TAXONOMY_CODE	TAXONOMY_DESC1	TAXONOMY_DESC2	TAXONOMY_DESC3	ORG_TYPE_CODE	ORG_TYPE_DESC
1588683742	16	101Y00000X	Behavioral Health & Social Service Providers	Counselor		1013008	Group Practice, General Medical
1457458721	1	101Y00000X	Behavioral Health & Social Service Providers	Counselor		1013008	Group Practice, General Medical
1629268644	1	101YA0400X	Behavioral Health & Social Service Providers	Counselor	Addiction (Substance Use Disorder)	1013008	Group Practice, General Medical
1770560732	154	101YA0400X	Behavioral Health & Social Service Providers	Counselor	Addiction (Substance Use Disorder)	1013008	Group Practice, General Medical
1275533853	1	101YM0800X	Behavioral Health & Social Service Providers	Counselor	Mental Health	1013008	Group Practice, General Medical
1205802170	17	101YM0800X	Behavioral Health & Social Service Providers	Counselor	Mental Health	1013008	Group Practice, General Medical
1336474493	9	101YP2500X	Behavioral Health & Social Service Providers	Counselor	Professional	1013008	Group Practice, General Medical
1497809966	1	101YP2500X	Behavioral Health & Social Service Providers	Counselor	Professional	1013008	Group Practice, General Medical
1619376936	182	101YP2500X	Behavioral Health & Social Service Providers	Counselor	Professional	1013008	Group Practice, General Medical
1194818138	20	103K00000X	Behavioral Health & Social Service Providers	Behavioral Analyst		1013008	Group Practice, General Medical
1457339525	37	103T00000X	Behavioral Health & Social Service Providers	Psychologist		1013008	Group Practice, General Medical
1255353934	1	103T00000X	Behavioral Health & Social Service Providers	Psychologist		1013008	Group Practice, General Medical
1548284060	1	103T00000X	Behavioral Health & Social Service Providers	Psychologist		1013008	Group Practice, General Medical
1801833496	11,744	103T00000X	Behavioral Health & Social Service Providers	Psychologist		1013008	Group Practice, General Medical
1770841959	171	103TA0400X	Behavioral Health & Social Service Providers	Psychologist	Addiction (Substance Use Disorder)	1013008	Group Practice, General Medical
1891919783	1	103TP0016X	Behavioral Health & Social Service Providers	Psychologist	Prescribing (Medical)	1013008	Group Practice, General Medical
1568473635	4,288	104100000X	Behavioral Health & Social Service Providers	Social Worker		1013008	Group Practice, General Medical
1912919481	1	1041C0700X	Behavioral Health & Social Service Providers	Social Worker	Clinical	1013008	Group Practice, General Medical
1851300784	22	1041C0700X	Behavioral Health & Social Service Providers	Social Worker	Clinical	1013008	Group Practice, General Medical
1609156900	1	111N00000X	Chiropractic Providers	Chiropractor		1013008	Group Practice, General Medical
1265481899	12	111N00000X	Chiropractic Providers	Chiropractor		1013008	Group Practice, General Medical
1336292499	1	111N00000X	Chiropractic Providers	Chiropractor		1013008	Group Practice, General Medical
1912001264	31	111N00000X	Chiropractic Providers	Chiropractor		1013008	Group Practice, General Medical
1609156900	1	111N00000X	Chiropractic Providers	Chiropractor		1013008	Group Practice, General Medical
1558393371	3	122300000X	Dental Providers	Dentist		1013008	Group Practice, General Medical
1063596690	13	122300000X	Dental Providers	Dentist		1013008	Group Practice, General Medical
1578581443	1	122300000X	Dental Providers	Dentist		1013008	Group Practice, General Medical
1538112230	8,081	1223G0001X	Dental Providers	Dentist	General Practice	1013008	Group Practice, General Medical
1285781898	1	1223G0001X	Dental Providers	Dentist	General Practice	1013008	Group Practice, General Medical
1326206228	5,498	1223G0001X	Dental Providers	Dentist	General Practice	1013008	Group Practice, General Medical
1265869374	1	1223P0106X	Dental Providers	Dentist	Oral and Maxillofacial Pathology	1013008	Group Practice, General Medical
1487082046	10	1223P0106X	Dental Providers	Dentist	Oral and Maxillofacial Pathology	1013008	Group Practice, General Medical
1972676971	11	1223P0300X	Dental Providers	Dentist	Periodontics	1013008	Group Practice, General Medical
1457309270	162	133NN1002X	Dietary & Nutritional Service Providers	Nutritionist	Nutrition, Education	1013008	Group Practice, General Medical
1265610570	6,306	133V00000X	Dietary & Nutritional Service Providers	Dietitian, Registered		1013008	Group Practice, General Medical
1831178755	370	133V00000X	Dietary & Nutritional Service Providers	Dietitian, Registered		1013008	Group Practice, General Medical
1851691570	2	146M00000X	Emergency Medical Service Providers	Emergency Medical Technician, Intermediate		1013008	Group Practice, General Medical
1376657817	1	146N00000X	Emergency Medical Service Providers	Emergency Medical Technician, Basic		1013008	Group Practice, General Medical
1285616177	5	152W00000X	Eye and Vision Services Providers	Optometrist		1013008	Group Practice, General Medical
1285616177	5	152W00000X	Eye and Vision Services Providers	Optometrist		1013008	Group Practice, General Medical
1649227265	4	156FX1800X	Eye and Vision Services Providers	Technician/Technologist	Optician	1013008	Group Practice, General Medical
