File,Field,Duplicate check,Fillrate,All X in Y,Freq
network_indiv_profiles.txt,HMS_PIID,y,100,network.txt:HMS_PIID1,n
network_indiv_profiles.txt,FIRST,n,100,n,n
network_indiv_profiles.txt,MIDDLE,n,n,n,n
network_indiv_profiles.txt,LAST,n,100,n,n
network_indiv_profiles.txt,SUFFIX,n,n,n,n
network_indiv_profiles.txt,CRED,n,n,n,n
network_indiv_profiles.txt,PRACTITIONER_TYPE,n,100,n,y
network_indiv_profiles.txt,HMS_SPEC1,n,100,n,n
network_indiv_profiles.txt,HMS_SPEC2,n,n,n,n
network_indiv_profiles.txt,ADDRESS1,n,100,n,n
network_indiv_profiles.txt,ADDRESS2,n,n,n,n
network_indiv_profiles.txt,CITY,n,100,n,n
network_indiv_profiles.txt,STATE,n,100,n,n
network_indiv_profiles.txt,ZIP,n,100,n,n
network_indiv_profiles.txt,ZIP4,n,n,n,n
network_indiv_profiles.txt,COUNTY,n,n,n,n
network_indiv_profiles.txt,PHONE1,n,80,n,n
network_indiv_profiles.txt,PHONE2,n,n,n,n
network_indiv_profiles.txt,FAX,n,n,n,n
network_indiv_profiles.txt,NPI,y,95,n,n
network_indiv_profiles.txt,GRP1_VOLUME_NATL_RANK,n,y,n,y
network_indiv_profiles.txt,GRP1_VOLUME_TERR_RANK,n,y,n,y
network_indiv_profiles.txt,NATL_NUM_CONN_GRP2_ENTITIES,n,y,n,n
network_indiv_profiles.txt,TERR_NUM_CONN_GRP2_ENTITIES,n,y,n,n
network_indiv_profiles.txt,GRP2_VOLUME_NATL_RANK,n,n,n,n
network_indiv_profiles.txt,GRP2_VOLUME_TERR_RANK,n,n,n,n
network_indiv_profiles.txt,NATL_NUM_CONN_GRP1_ENTITIES,n,y,n,n
network_indiv_profiles.txt,TERR_NUM_CONN_GRP1_ENTITIES,n,y,n,n
network_org_profiles.txt,HMS_POID,y,100,network.txt:HMS_POID2,n
network_org_profiles.txt,ORGNAME,n,100,n,n
network_org_profiles.txt,ORGTYPE,n,100,n,y
network_org_profiles.txt,ADDRESS1,n,100,n,n
network_org_profiles.txt,ADDRESS2,n,n,n,n
network_org_profiles.txt,CITY,n,100,n,n
network_org_profiles.txt,STATE,n,100,n,n
network_org_profiles.txt,ZIP,n,100,n,n
network_org_profiles.txt,ZIP4,n,n,n,n
network_org_profiles.txt,COUNTY,n,n,n,n
network_org_profiles.txt,PHONE1,n,80,n,n
network_org_profiles.txt,PHONE2,n,n,n,n
network_org_profiles.txt,FAX,n,n,n,n
network_org_profiles.txt,NPI,y,95,n,n
network_org_profiles.txt,GRP1_VOLUME_NATL_RANK,n,n,n,n
network_org_profiles.txt,GRP1_VOLUME_TERR_RANK,n,n,n,n
network_org_profiles.txt,NATL_NUM_CONN_GRP2_ENTITIES,n,y,n,n
network_org_profiles.txt,TERR_NUM_CONN_GRP2_ENTITIES,n,y,n,n
network_org_profiles.txt,GRP2_VOLUME_NATL_RANK,n,y,n,y
network_org_profiles.txt,GRP2_VOLUME_TERR_RANK,n,y,n,y
network_org_profiles.txt,NATL_NUM_CONN_GRP1_ENTITIES,n,y,n,n
network_org_profiles.txt,TERR_NUM_CONN_GRP1_ENTITIES,n,y,n,n
network.txt,HMS_PIID1,n,100,network_indiv_profiles.txt:HMS_PIID,n
network.txt,HMS_POID2,n,100,network_org_profiles.txt:HMS_POID,n
network.txt,NATL_SOR_VALUE,n,100,n,n
network.txt,TERR_SOR_VALUE,n,100,n,n
network.txt,PCT1,n,100,n,n
network.txt,PCT2,n,100,n,n
