File,Field,Duplicate check,Fillrate,All X in Y,Freq
fac_decile_breakdown.tab,FAC_NATL_RANK,n,100,n,y
fac_decile_breakdown.tab,BUCKET,n,n,n,n
fac_decile_breakdown.tab,POIDs,n,n,n,n
fac_decile_breakdown.tab,MIN_CLAIM_COUNT,n,n,n,n
fac_decile_breakdown.tab,MAX_CLAIM_COUNT,n,n,n,n
HMS_Individuals.tab,HMS_PIID,y,100,n,n
HMS_Individuals.tab,FIRST,n,n,n,n
HMS_Individuals.tab,MIDDLE,n,n,n,n
HMS_Individuals.tab,LAST,n,n,n,n
HMS_Individuals.tab,SUFFIX,n,n,n,n
HMS_Individuals.tab,CRED,n,n,n,n
HMS_Individuals.tab,PRACTITIONER_TYPE,n,n,n,n
HMS_Individuals.tab,HMS_SPEC1,n,n,n,n
HMS_Individuals.tab,HMS_SPEC2,n,n,n,n
HMS_Individuals.tab,NPI,n,n,n,n
HMS_Individuals.tab,ADDRESS1,n,n,n,n
HMS_Individuals.tab,ADDRESS2,n,n,n,n
HMS_Individuals.tab,CITY,n,n,n,n
HMS_Individuals.tab,STATE,n,n,n,n
HMS_Individuals.tab,ZIP,n,n,n,n
HMS_Individuals.tab,ZIP4,n,n,n,n
HMS_Individuals.tab,CBSA_CODE,n,n,n,n
HMS_Individuals.tab,CBSA_DESC,n,n,n,n
HMS_Individuals.tab,COUNTY,n,n,n,n
HMS_Individuals.tab,PHONE1,n,n,n,n
HMS_Individuals.tab,FAX1,n,n,n,n
HMS_Individuals.tab,HOSPICE_PRACTITIONER_NATL_RANK,n,100,n,y
HMS_Organizations.tab,HMS_POID,y,100,n,n
HMS_Organizations.tab,ORGTYPE,n,n,n,y
HMS_Organizations.tab,ORGNAME,n,n,n,n
HMS_Organizations.tab,ADDRESS1,n,n,n,n
HMS_Organizations.tab,ADDRESS2,n,n,n,n
HMS_Organizations.tab,CITY,n,n,n,n
HMS_Organizations.tab,STATE,n,n,n,n
HMS_Organizations.tab,ZIP,n,n,n,n
HMS_Organizations.tab,ZIP4,n,n,n,n
HMS_Organizations.tab,CBSA_CODE,n,n,n,n
HMS_Organizations.tab,CBSA_DESC,n,n,n,n
HMS_Organizations.tab,COUNTY,n,n,n,n
HMS_Organizations.tab,PHONE1,n,n,n,n
HMS_Organizations.tab,PHONE2,n,n,n,n
HMS_Organizations.tab,FAX1,n,n,n,n
HMS_Organizations.tab,NPI,y,n,n,n
HMS_Organizations.tab,HOSPICE_FAC_NATL_RANK,n,n,n,y
HMS_PxDx.tab,HMS_PIID,n,100,HMS_Individuals.tab:HMS_PIID,n
HMS_PxDx.tab,FIRST,n,n,n,n
HMS_PxDx.tab,MIDDLE,n,n,n,n
HMS_PxDx.tab,LAST,n,n,n,n
HMS_PxDx.tab,SUFFIX,n,n,n,n
HMS_PxDx.tab,CRED,n,n,n,n
HMS_PxDx.tab,PRACTITIONER_TYPE,n,n,n,y
HMS_PxDx.tab,HMS_SPEC1,n,n,n,y
HMS_PxDx.tab,HMS_SPEC2,n,n,n,n
HMS_PxDx.tab,HMS_POID,n,100,HMS_Organizations.tab:HMS_POID,n
HMS_PxDx.tab,ORGNAME,n,n,n,n
HMS_PxDx.tab,ADDRESS1,n,n,n,n
HMS_PxDx.tab,ADDRESS2,n,n,n,n
HMS_PxDx.tab,CITY,n,n,n,n
HMS_PxDx.tab,STATE,n,n,n,n
HMS_PxDx.tab,ZIP,n,n,n,n
HMS_PxDx.tab,ZIP4,n,n,n,n
HMS_PxDx.tab,PHONE1,n,n,n,n
HMS_PxDx.tab,PHONE2,n,n,n,n
HMS_PxDx.tab,FAX1,n,n,n,n
HMS_PxDx.tab,ORGTYPE,n,n,n,n
HMS_PxDx.tab,HOSPICE_PRACTITIONER_NATL_RANK,n,100,n,y
HMS_PxDx.tab,HOSPICE_FAC_NATL_RANK,n,100,n,y
HMS_PxDx.tab,HOSPICE_PRACTITIONER_FAC_RANK,n,100,n,y
HMS_PxDx.tab,HOSPICE_SHARE,n,n,n,n
indiv_decile_breakdown.tab,PRACTITIONER_NATL_RANK,n,100,n,y
indiv_decile_breakdown.tab,BUCKET,n,n,n,n
indiv_decile_breakdown.tab,PIIDs,n,n,n,n
indiv_decile_breakdown.tab,MIN_CLAIM_COUNT,n,n,n,n
indiv_decile_breakdown.tab,MAX_CLAIM_COUNT,n,n,n,n
