File,Field,Duplicate check,Fillrate,All X in Y,Freq
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,TERRITORY,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,HMS_POID,n,100,ROP_Files/ROP_DataHospital.txt:HMS_POID,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,HMS_PIID,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,ORG_NAME,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,CITY,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,STATE,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,FIRST,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,LAST,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,HMS_SPEC1,n,90,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,TPV_PHYS_FAC_DECILE,n,100,n,y
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,HHA_PHYS_FAC_DECILE,n,100,n,y
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,POID2,n,y,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,NAME,n,y,n,n
*/ROP_Files/ROP_DataHospitalAffils_HHA.txt,SHARE_RNDUP,n,y,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,TERRITORY,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,HMS_POID,n,100,ROP_Files/ROP_DataHospital.txt:HMS_POID,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,HMS_PIID,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,ORG_NAME,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,CITY,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,STATE,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,FIRST,n,100,n,n
*/ROP_Files/ROP_DataHospitalAffils_Hospice.txt,LAST,n,100,n,n
