File,Field,Duplicate check,Fillrate,All X in Y,Freq
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,HMS_POID,y,100,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,ORGNAME,n,100,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,ADDRESS1,n,100,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,ADDRESS2,n,n,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,CITY,n,n,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,STATE,n,n,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,ZIP,n,n,n,n
milestones/HMS_Home_Health_Affiliated_Hospitals.tab,ZIP4,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,HMS_PIID,n,100,n,n
milestones/HMS_Hospital_Affiliations.tab,HMS_POID,n,100,n,n
milestones/HMS_Hospital_Affiliations.tab,ORGNAME,n,100,n,n
milestones/HMS_Hospital_Affiliations.tab,ADDRESS1,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,ADDRESS2,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,CITY,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,STATE,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,ZIP,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,FIRST,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,LAST,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,HMS_SPEC1,n,n,n,y
milestones/HMS_Hospital_Affiliations.tab,HMS_SPEC2,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,PERCENT,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,AFFINITY,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,TOTAL_PATIENT_VOLUME,n,100,n,n
milestones/HMS_Hospital_Affiliations.tab,ALL_HHA_VOLUME,n,100,n,n
milestones/HMS_Hospital_Affiliations.tab,*_NATIONAL_PHYS_RANK,n,100,n,y
milestones/HMS_Hospital_Affiliations.tab,PRIMARY_HHA_NAME,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,MARKET_SHARE,n,n,n,n
milestones/HMS_Hospital_Affiliations.tab,HHA_HMS_POID,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,HMS_PIID,y,100,n,n
milestones/HMS_Individual_Market_Share.tab,FIRST,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,MIDDLE,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,LAST,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,SUFFIX,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,CRED,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,PRACTITIONER_TYPE,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,HMS_SPEC1,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,HMS_SPEC2,n,n,n,n
milestones/HMS_Individual_Market_Share.tab,HMS_POID,n,100,n,n
milestones/HMS_Individual_Market_Share.tab,ORGNAME,n,100,n,n
milestones/HMS_Individual_Market_Share.tab,MARKET_SHARE,n,n,n,n
milestones/HMS_Individual_Ranks.tab,HMS_PIID,y,100,n,n
milestones/HMS_Individual_Ranks.tab,RANK_TYPE,n,n,n,n
milestones/HMS_Individual_Ranks.tab,RANK_GEO,n,n,n,n
milestones/HMS_Individual_Ranks.tab,BUCKET,n,n,n,n
milestones/HMS_Individual_Ranks.tab,PHYS_RANK,n,n,n,y
milestones/HMS_Individuals.tab,HMS_PIID,y,100,n,n
milestones/HMS_Individuals.tab,FIRST,n,n,n,n
milestones/HMS_Individuals.tab,MIDDLE,n,n,n,n
milestones/HMS_Individuals.tab,LAST,n,n,n,n
milestones/HMS_Individuals.tab,SUFFIX,n,n,n,n
milestones/HMS_Individuals.tab,CRED,n,n,n,n
milestones/HMS_Individuals.tab,PRACTITIONER_TYPE,n,n,n,n
milestones/HMS_Individuals.tab,HMS_SPEC1,n,n,n,n
milestones/HMS_Individuals.tab,HMS_SPEC2,n,n,n,n
milestones/HMS_Individuals.tab,NPI,y,90,n,n
milestones/HMS_Individuals.tab,ADDRESS1,n,n,n,n
milestones/HMS_Individuals.tab,ADDRESS2,n,n,n,n
milestones/HMS_Individuals.tab,CITY,n,n,n,n
milestones/HMS_Individuals.tab,STATE,n,n,n,n
milestones/HMS_Individuals.tab,ZIP,n,n,n,n
milestones/HMS_Individuals.tab,ZIP4,n,n,n,n
milestones/HMS_Individuals.tab,PHONE1,n,n,n,n
milestones/HMS_Individuals.tab,PHONE2,n,n,n,n
milestones/HMS_Individuals.tab,FAX,n,n,n,n
milestones/HMS_Individuals.tab,COUNTY,n,n,n,n
milestones/HMS_Organization_Ranks.tab,HMS_POID,y,100,n,n
milestones/HMS_Organization_Ranks.tab,RANK_TYPE,n,n,n,n
milestones/HMS_Organization_Ranks.tab,RANK_GEO,n,n,n,n
milestones/HMS_Organization_Ranks.tab,BUCKET,n,n,n,n
milestones/HMS_Organization_Ranks.tab,ORG_RANK,n,n,n,n
milestones/HMS_Organizations.tab,HMS_POID,y,n,n,n
milestones/HMS_Organizations.tab,ORGNAME,n,n,n,n
milestones/HMS_Organizations.tab,ADDRESS1,n,n,n,n
milestones/HMS_Organizations.tab,ADDRESS2,n,n,n,n
milestones/HMS_Organizations.tab,CITY,n,n,n,n
milestones/HMS_Organizations.tab,STATE,n,n,n,n
milestones/HMS_Organizations.tab,ZIP,n,n,n,n
milestones/HMS_Organizations.tab,ZIP4,n,n,n,n
milestones/HMS_Organizations.tab,POS,n,n,n,n
milestones/HMS_Organizations.tab,NPI,y,n,n,n
milestones/HMS_Organizations.tab,COUNTY,n,n,n,n
