File,Field,Duplicate check,Fillrate,All X in Y,Freq
HHA.tab,HMS_POID,y,100,n,n
HHA.tab,ORGNAME,n,n,n,n
HHA.tab,ADDRESS,n,n,n,n
HHA.tab,CITY,n,n,n,n
HHA.tab,STATE,n,n,n,n
HHA.tab,ZIP,n,n,n,n
HHA.tab,NPI,y,n,n,n
HHA.tab,POS,n,n,n,n
HHA.tab,TPV_DECILE,n,100,n,y
HHA.tab,FACILITY_READMITRATE,n,100,n,n
HOSPITAL_HHA.tab,HOSPITAL_POID,n,100,Hospitals.tab:HMS_POID,n
HOSPITAL_HHA.tab,HOSPITAL_NAME,n,n,n,n
HOSPITAL_HHA.tab,CITY,n,n,n,n
HOSPITAL_HHA.tab,STATE,n,n,n,n
HOSPITAL_HHA.tab,HHA_POID,n,100,HHA.tab:HMS_POID,n
HOSPITAL_HHA.tab,HHA_NAME,n,n,n,n
HOSPITAL_HHA.tab,HHA_OWNER,n,n,n,n
HOSPITAL_HHA.tab,AGENCY_SHARE,n,n,n,n
HOSPITAL_HHA.tab,HOSP_HHA_FAC_READMIT_RATE,n,100,n,n
HOSPITAL_HHA.tab,HOSP_ALL_HHA_READMIT_RATE,n,100,n,n
HOSPITAL_HHA.tab,DIFFERENCE,n,n,n,n
HOSPITAL_IRF.tab,HOSPITAL_POID,n,100,Hospitals.tab:HMS_POID,n
HOSPITAL_IRF.tab,HOSPITAL_NAME,n,n,n,n
HOSPITAL_IRF.tab,CITY,n,n,n,n
HOSPITAL_IRF.tab,STATE,n,n,n,n
HOSPITAL_IRF.tab,IRF_POID,n,100,IRF.tab:HMS_POID,n
HOSPITAL_IRF.tab,IRF_NAME,n,n,n,n
HOSPITAL_IRF.tab,IRF_OWNER,n,n,n,n
HOSPITAL_IRF.tab,AGENCY_SHARE,n,n,n,n
HOSPITAL_IRF.tab,HOSP_IRF_FAC_READMIT_RATE,n,100,n,n
HOSPITAL_IRF.tab,HOSP_ALL_IRF_READMIT_RATE,n,100,n,n
HOSPITAL_IRF.tab,DIFFERENCE,n,n,n,n
HOSPITAL_LTAC.tab,HOSPITAL_POID,n,100,Hospitals.tab:HMS_POID,n
HOSPITAL_LTAC.tab,HOSPITAL_NAME,n,n,n,n
HOSPITAL_LTAC.tab,CITY,n,n,n,n
HOSPITAL_LTAC.tab,STATE,n,n,n,n
HOSPITAL_LTAC.tab,LTAC_POID,n,100,LTAC.tab:HMS_POID,n
HOSPITAL_LTAC.tab,LTAC_NAME,n,n,n,n
HOSPITAL_LTAC.tab,LTAC_OWNER,n,n,n,n
HOSPITAL_LTAC.tab,AGENCY_SHARE,n,n,n,n
HOSPITAL_LTAC.tab,HOSP_LTAC_FAC_READMIT_RATE,n,100,n,n
HOSPITAL_LTAC.tab,HOSP_ALL_LTAC_READMIT_RATE,n,100,n,n
HOSPITAL_LTAC.tab,DIFFERENCE,n,n,n,n
HOSPITAL_SNF.tab,HOSPITAL_POID,n,100,Hospitals.tab:HMS_POID,n
HOSPITAL_SNF.tab,HOSPITAL_NAME,n,n,n,n
HOSPITAL_SNF.tab,CITY,n,n,n,n
HOSPITAL_SNF.tab,STATE,n,n,n,n
HOSPITAL_SNF.tab,SNF_POID,n,100,SNF.tab:HMS_POID,n
HOSPITAL_SNF.tab,SNF_NAME,n,n,n,n
HOSPITAL_SNF.tab,SNF_OWNER,n,n,n,n
HOSPITAL_SNF.tab,AGENCY_SHARE,n,n,n,n
HOSPITAL_SNF.tab,HOSP_SNF_FAC_READMIT_RATE,n,100,n,n
HOSPITAL_SNF.tab,HOSP_ALL_SNF_READMIT_RATE,n,100,n,n
HOSPITAL_SNF.tab,DIFFERENCE,n,n,n,n
Hospitals.tab,HMS_POID,y,100,n,n
Hospitals.tab,ORGNAME,n,n,n,n
Hospitals.tab,ADDRESS,n,n,n,n
Hospitals.tab,CITY,n,n,n,n
Hospitals.tab,STATE,n,n,n,n
Hospitals.tab,ZIP,n,n,n,n
Hospitals.tab,NPI,y,n,n,n
Hospitals.tab,POS,n,n,n,n
Hospitals.tab,TPV_DECILE,n,100,n,y
Hospitals.tab,READMIT_RATE_LTAC,n,100,n,n
Hospitals.tab,READMIT_RATE_SNF,n,100,n,n
Hospitals.tab,READMIT_RATE_IRF,n,100,n,n
Hospitals.tab,READMIT_RATE_HHA,n,100,n,n
IRF.tab,HMS_POID,y,100,n,n
IRF.tab,ORGNAME,n,n,n,n
IRF.tab,ADDRESS,n,n,n,n
IRF.tab,CITY,n,n,n,n
IRF.tab,STATE,n,n,n,n
IRF.tab,ZIP,n,n,n,n
IRF.tab,NPI,y,n,n,n
IRF.tab,POS,n,n,n,n
IRF.tab,TPV_DECILE,n,n,n,y
IRF.tab,FACILITY_READMITRATE,n,100,n,n
LTAC.tab,HMS_POID,y,100,n,n
LTAC.tab,ORGNAME,n,n,n,n
LTAC.tab,ADDRESS,n,n,n,n
LTAC.tab,CITY,n,n,n,n
LTAC.tab,STATE,n,n,n,n
LTAC.tab,ZIP,n,n,n,n
LTAC.tab,NPI,y,n,n,n
LTAC.tab,POS,n,n,n,n
LTAC.tab,TPV_DECILE,n,100,n,y
LTAC.tab,FACILITY_READMITRATE,n,100,n,n
NATL_READMIT.tab,SETTING,n,n,n,n
NATL_READMIT.tab,RATE,n,n,n,n
Patient_Quality_Metrics.tab,HMS_POID,y,100,n,n
Patient_Quality_Metrics.tab,FAC_TIMELY_MANNER,n,n,n,n
Patient_Quality_Metrics.tab,FAC_WOUNDS_HEALED,n,n,n,n
Patient_Quality_Metrics.tab,FAC_PROFESSIONAL,n,n,n,n
Patient_Quality_Metrics.tab,FAC_COMMUNICATED,n,n,n,n
Patient_Quality_Metrics.tab,FAC_RATE_9_10,n,n,n,n
Patient_Quality_Metrics.tab,FAC_RECOMMEND,n,n,n,n
Patient_Quality_Metrics.tab,NATL_TIMELY_MANNER,n,n,n,n
Patient_Quality_Metrics.tab,NATL_WOUNDS_HEALED,n,n,n,n
Patient_Quality_Metrics.tab,NATL_PROFESSIONAL,n,n,n,n
Patient_Quality_Metrics.tab,NATL_COMMUNICATED,n,n,n,n
Patient_Quality_Metrics.tab,NATL_RATE_9_10,n,n,n,n
Patient_Quality_Metrics.tab,NATL_RECOMMEND,n,n,n,n
SNF.tab,HMS_POID,y,100,n,n
SNF.tab,ORGNAME,n,n,n,n
SNF.tab,ADDRESS,n,n,n,n
SNF.tab,CITY,n,n,n,n
SNF.tab,STATE,n,n,n,n
SNF.tab,ZIP,n,n,n,n
SNF.tab,NPI,y,n,n,n
SNF.tab,POS,n,n,n,n
SNF.tab,TPV_DECILE,n,100,n,y
SNF.tab,FACILITY_READMITRATE,n,100,n,n
