HMS_POID	vec.discr.x	vec.discr.y
PO0380N3	2	NA
PO03BW82	3	3
PO03GNM6	3	2
PO03UQB9	3	3
PO03XWN7	3	3
PO048TK1	1	NA
PO049V37	3	3
PO04B406	3	1
PO04VEQ2	3	3
PO04X1V3	3	3
PO05AN59	1	NA
PO05R9G3	1	NA
PO067522	1	NA
PO06K030	3	NA
PO07MFF8	1	NA
PO082J31	2	2
PO09E3W1	3	3
PO0APWC5	1	1
PO0AWTG2	4	3
PO0B2EX6	3	3
PO0B6HR5	3	3
PO0CJEP7	3	3
PO0E29K2	1	1
PO0ED285	1	1
PO0EP4X6	3	3
PO0F1952	3	3
PO0FAFA0	1	1
PO0FXNP0	4	3
PO0G7162	1	NA
PO0GCF71	1	1
PO0GVT08	1	1
PO0H11F5	2	2
PO0H3WF0	3	3
PO0H4056	3	3
PO0MGBU6	3	1
PO0MGG08	3	3
PO0MR6U3	3	2
PO0N4PQ7	3	3
PO0N5UV0	2	3
PO0NN5T9	1	NA
PO0NW7D1	3	3
PO0PEF23	3	NA
PO0PQDV6	1	1
PO0Q3TK3	1	NA
PO0QW138	1	NA
PO0R9312	3	3
PO0RBF42	3	3
PO0RF8H6	2	2
PO0T5CC6	2	2
PO0T9VV4	1	1
PO0TPXR0	1	1
PO0V6KH8	3	3
PO0VJRR1	3	3
PO0W3F89	3	3
PO0W6866	1	1
PO0WE2V0	1	1
PO0WG446	3	3
PO0X84J0	1	1
PO0XA702	3	3
PO10RU32	1	NA
PO115XW9	1	1
PO11FU03	3	3
PO11HA42	3	3
PO138FB4	2	2
PO15C5W9	3	3
PO166E95	3	3
PO16M1V8	2	4
PO17CCT8	1	NA
PO18AKQ8	1	NA
PO18CDC3	1	2
PO18GWW4	1	NA
PO18PKQ2	1	1
PO191VD2	3	3
PO1BJ752	3	3
PO1C97X5	3	3
PO1C9F13	1	1
PO1CHQ20	1	NA
PO1CUK60	3	3
PO1DCFB2	3	2
PO1DHFF5	1	NA
PO1F87K8	1	NA
PO1FC6W5	3	3
PO1H5PA2	1	NA
PO1HDE47	1	1
PO1N95W3	1	NA
PO1NK0E6	3	4
PO1PX379	3	2
PO1RCF09	1	NA
PO1V0WX1	3	2
PO1V5X40	3	3
PO1V7CK1	3	2
PO21E259	3	3
PO21J5Q0	1	NA
PO22GKQ8	3	3
PO22MCH1	1	1
PO2393W9	3	3
PO23MG69	3	3
PO23RBT8	3	3
PO2474Q9	1	NA
PO24XWU2	3	3
PO2702U0	3	3
PO27QJ10	4	3
PO283PX1	3	3
PO287VR6	3	3
PO2908P7	3	3
PO29T5T4	3	3
PO2B8BU4	4	4
PO2DNN39	3	2
PO2GV756	3	NA
PO2HCV65	3	3
PO2JFXA5	3	4
PO2JJ9F3	1	1
PO2PFCX0	3	3
PO2PRGW8	1	1
PO2Q20N2	1	1
PO2R1RA6	3	3
PO2RM588	1	1
PO2TUWQ1	3	3
PO2V4QK1	3	3
PO2VX2X8	3	3
PO2WHHV1	1	NA
PO2WMXE4	1	1
PO2WNVK1	1	1
PO2WQBE1	3	3
PO2X0N79	3	3
PO2X3P05	3	1
PO2XC9J1	1	3
PO30W3D8	2	2
PO314NK8	3	3
PO314UG6	2	2
PO31ANF1	3	3
PO320W77	3	4
PO339830	2	2
PO33ARD8	3	3
PO33MRH0	3	3
PO35HFT8	1	NA
PO36NMH5	1	1
PO37F5A9	3	3
PO37JPG9	4	2
PO37MNE3	3	3
PO38A026	1	NA
PO3A1G74	3	3
PO3B03N0	3	3
PO3BC2X2	3	2
PO3BC5T0	2	2
PO3CEQF3	3	3
PO3CF7G2	3	3
PO3CGGB7	3	3
PO3CKXA5	1	1
PO3CQ366	1	NA
PO3CTKT8	3	3
PO3EGWC8	3	3
PO3FJJ90	2	2
PO3G06X8	3	3
PO3GAJN5	3	2
PO3H8Q82	1	1
PO3KJ7H8	2	NA
PO3KJQN8	3	3
PO3N6V99	3	3
PO3NK1J0	1	NA
PO3PJ7J5	1	1
PO3QKJN1	2	2
