HMS_POID	vec.discr
POA731U1	3
POAP70T7	1
PO5UFQN3	3
PO684TD2	3
PO6CN176	3
PO6EDTJ5	1
POGNBE71	2
POT94U14	3
POB56M39	1
POBBXQW2	1
POXX26J0	2
PO4TMM19	2
PO52N6D3	3
POTEHQK7	2
POTNVK91	2
POTQ2849	3
PODP3U87	3
POEDJUR4	3
POWE9NE8	3
POMKU2R6	4
POMPTAA6	3
PON4M924	3
PO8TWME5	3
PO7FP0V2	1
PO7MHU93	2
PO339830	2
PO3EGWC8	3
PO4B34D9	2
PON9HDD3	3
PONNUT88	4
PONWTCM1	1
POP59R81	3
PO1H5PA2	1
PO1NK0E6	3
PO1V5X40	3
PO21E259	3
PO23MG69	3
PO24XWU2	3
POERDUG9	1
POF3AUQ9	3
POF834U8	3
POH7FG44	3
POHDKKM0	2
POHPC8W6	3
POJCCQA0	1
PO03BW82	3
PO0AWTG2	4
PO0CJEP7	3
PO3WV4E2	3
PO402U43	1
POKQWMK4	3
POQDKGQ4	3
POQMQ6V0	3
POQPG6H1	3
POQQFTB8	3
POQUK4J7	1
POUXHUF7	3
PO0V6KH8	3
PO0WE2V0	1
PO17CCT8	1
POATTA91	3
POB0RJX7	3
POT4CNF5	2
POT588F5	4
POXPAJB0	2
POXQXKQ1	2
POTBMUP3	1
POTPCHX5	3
POU37G61	3
POCX0U50	1
PODW98H7	1
POEHP5A3	2
POW7WM48	3
POWE5075	2
POM0B5W3	3
PO2702U0	3
PO2R1RA6	3
PO8UWTP8	2
PO71KJ52	1
PO314UG6	2
PO38A026	1
PO3N6V99	3
PO4C5JX1	1
PO4FXCK7	4
PONMR413	3
PO1C97X5	3
PO22GKQ8	3
PO22MCH1	1
POEV9PU1	3
POFJ5KT1	2
POFPDJ17	3
PO0F1952	3
PO3R3UC8	1
PO405HG4	1
PO40XUU5	3
PO421HE8	1
POK5TH18	2
POPQKP94	4
POQ66FA1	1
POQ7R6R7	3
POQQT7K6	1
POQVHNP2	1
POUW9HU6	3
PO8W1D06	4
PO9KP7T2	3
PO0PQDV6	1
PO0VJRR1	3
PO18PKQ2	1
POA5E4P6	1
PO5TNPH5	3
POGBT0E1	1
POGF6J71	3
POGMKTC2	1
PORV5MM9	3
POT6NWW1	2
POB65BX2	2
POBC7B98	1
POBRX908	3
POBXXKQ2	3
POXE3U74	2
POXTQV74	3
PO4N5848	3
POTPXFK1	3
POCMEW98	1
POD66283	1
PODGJVF1	1
PODKQTB7	3
PODTQUK6	3
PODUJB36	3
POE99J06	1
POMHEP22	3
PO2X3P05	3
PO8HHT37	3
PO727349	3
PO7P8FV7	1
PO49HET3	1
PO4DKTR6	3
PO4EQ803	1
PO4F4W06	3
PONWXC77	3
POP5W389	1
PO1CHQ20	1
PO1F87K8	1
POFG6E95	3
POFQNCT5	1
POA71K39	3
POB3C137	2
POG312C6	1
POGW06K2	2
POR7V363	3
PORPHGD0	1
POXV2NR9	3
PO4PK2U1	4
POUNART0	3
POCCMNT6	2
PODMBWC3	3
POEAVV87	1
POEDV1N9	2
POM1P4D0	4
POMFCUV3	3
PO2B8BU4	4
PO7XFGX3	2
PO6XQJR2	3
PO76B037	2
PO7C7WB4	3
PO30W3D8	2
PO37F5A9	3
PO3H8Q82	1
PO487HX3	3
PO491PH6	1
PO4KQNP5	5
PONGW5A5	3
POP3U345	2
POFAW7T0	1
POJ7JRV4	3
PO0380N3	2
PO0FXNP0	4
PO3VX8P7	2
PO40UD34	3
PO41MB07	1
POW6XFR0	3
POW937K6	3
POWH3D18	3
POWJR861	3
POQ3KXK8	2
POURH6E1	3
POV2N6N3	3
POVB1EF9	1
POVFUWQ4	3
PO9H6FE0	1
PO0R9312	3
PO0WG446	3
PO10RU32	1
POA74A70	1
PO6A5U96	2
PO6H3AE7	1
POGR8R19	3
POREE676	3
PORJM3E6	3
POT397B5	1
POBEM1P0	3
POBH16K9	1
POBXKAP1	3
PO4M2MN9	3
PO4V7C13	3
PO4WA4J4	3
PO53TN41	3
PO547AD7	3
POTQ9QC0	3
POUARR42	3
POCPC972	1
PODHU0K5	1
PODQUPR4	3
POMBDEC1	1
PON5AXT5	1
PO2908P7	3
PO2PRGW8	1
PO2Q20N2	1
PO7TFPV5	1
PO79X5E7	3
PO7Q6B07	3
PO3A1G74	3
PO4ARQJ8	1
PO4KPV53	3
PO2474Q9	1
POHB9P51	3
PO05AN59	1
PO3NK1J0	1
PO3QKJN1	2
PO3XWD77	3
PO41Q1J0	1
PO43ETE1	3
POJGPDT6	3
POJU1W45	3
POKJJ193	3
POEH3TQ8	3
POW701N1	4
POWVEA78	1
POQ79828	3
POQT1CF9	1
PO9PGAU6	2
PO0PEF23	3
PO18AKQ8	1
PORD7K33	1
POT92876	4
POBCH316	3
POBWWR93	2
PO4MTAK9	3
PO560K39	3
PO5DBQQ9	2
POCB0X30	3
POCFRBP6	3
POCH51V3	1
POCHV4D0	2
PODG7MB6	3
PODREQD6	3
PODXB4R1	3
POMAEFG1	3
PON4BWP5	3
PO8QH478	2
PO6P4GM6	1
PO6V0QQ4	3
PO7A9TC7	1
PO7D43B3	3
PO7N0FK0	3
PO3CKXA5	1
PO3CQ366	1
PO4BNGM8	2
PO4JMA47	3
PONE0Q29	3
POP36085	1
PO1BJ752	3
PO1CUK60	3
PO1RCF09	1
PO04B406	3
PO0EP4X6	3
PO0GVT08	1
PO410D24	3
