HMS_POID	vec.discr.x	vec.discr.y
PO02DEP8	1	NA
PO0380N3	3	2
PO03BW82	3	3
PO03GNM6	2	3
PO03UQB9	3	3
PO03XWN7	3	3
PO048TK1	3	1
PO049V37	3	3
PO04AQ49	2	NA
PO04B406	3	3
PO04VEQ2	2	3
PO04X1V3	3	3
PO059QE0	1	NA
PO05AN59	1	1
PO05E929	2	NA
PO05R9G3	1	1
PO06K030	3	3
PO082J31	2	2
PO085QE5	1	NA
PO08EPW3	1	NA
PO08HCU2	2	NA
PO09E3W1	3	3
PO0APRD7	1	NA
PO0APWC5	1	1
PO0AWTG2	4	4
PO0B2EX6	3	3
PO0B6HR5	3	3
PO0CJEP7	3	3
PO0EP4X6	3	3
PO0F1952	3	3
PO0F72G5	1	NA
PO0FAFA0	1	1
PO0FXNP0	3	4
PO0G7162	1	1
PO0GCF71	1	1
PO0H11F5	1	2
PO0H3WF0	3	3
PO0H4056	1	3
PO0J7J84	1	NA
PO0JCUN4	2	NA
PO0MGBU6	3	3
PO0MGG08	3	3
PO0MR6U3	3	3
PO0N4PQ7	3	3
PO0NW7D1	3	3
PO0PEF23	3	3
PO0PQDV6	1	1
PO0Q3TK3	1	1
PO0QW138	3	1
PO0R9312	3	3
PO0RBF42	3	3
PO0RF8H6	1	2
PO0T5CC6	2	2
PO0T9VV4	1	1
PO0TPXR0	1	1
PO0V6KH8	3	3
PO0VJRR1	3	3
PO0W3F89	3	3
PO0W6866	1	1
PO0WE2V0	1	1
PO0WG446	3	3
PO0X84J0	1	1
PO0XA702	3	3
PO0XXTG4	2	NA
PO113524	1	NA
PO11FU03	3	3
PO11HA42	3	3
PO138FB4	3	2
PO15C5W9	3	3
PO15UXM9	1	NA
PO166E95	3	3
PO17A5R7	3	NA
PO17CCT8	1	1
PO18AKQ8	1	1
PO18CDC3	1	1
PO18GWW4	1	1
PO18V7E7	1	NA
PO191VD2	3	3
PO1ARR07	3	NA
PO1BJ752	3	3
PO1C97X5	3	3
PO1C9F13	1	1
PO1CHQ20	4	1
PO1CJKV3	1	NA
PO1CUK60	3	3
PO1DCFB2	3	3
PO1F87K8	1	1
PO1FC6W5	3	3
PO1HDE47	1	1
PO1NK0E6	3	3
PO1PAC93	1	NA
PO1PX379	2	3
PO1RCF09	1	1
PO1U14C8	1	NA
PO1V0WX1	3	3
PO1V5X40	3	3
PO1V7CK1	3	3
PO206JU3	1	NA
PO214B39	2	NA
PO21E259	3	3
PO22GKQ8	3	3
PO22MCH1	1	1
PO2393W9	3	3
PO23MG69	3	3
PO23RBT8	4	3
PO2474Q9	1	1
PO24XWU2	3	3
PO2702U0	3	3
PO275JJ1	1	NA
PO27QJ10	3	4
PO283PX1	3	3
PO287CJ1	1	NA
PO287VR6	3	3
PO2908P7	3	3
PO29T5T4	3	3
PO2B7DH9	3	NA
PO2B8BU4	4	4
PO2DNN39	2	3
PO2E12B9	1	NA
PO2GV756	3	3
