,long,lat,order,hole,piece,id,group,name,abb,region
1,-73,46,1,FALSE,1,0,0.1,vermont,VT,vermont
2,-72.45139,43.87176,2,FALSE,1,0,0.1,vermont,VT,vermont
3,-72,46.4,1,FALSE,1,1,1.1,new hampshire,NH,new hampshire
4,-71.63052,44.00123,2,FALSE,1,1,1.1,new hampshire,NH,new hampshire
5,-69,42,1,FALSE,1,2,2.1,massachusetts,MA,massachusetts
6,-71.7182,42.3,2,FALSE,1,2,2.1,massachusetts,MA,massachusetts
7,-69.5,41,1,FALSE,1,3,3.1,rhode island,RI,rhode island
8,-71.49167,41.58257,2,FALSE,1,3,3.1,rhode island,RI,rhode island
9,-70,40,1,FALSE,1,4,4.1,connecticut,CT,connecticut
10,-72.75738,41.51788,2,FALSE,1,4,4.1,connecticut,CT,connecticut
11,-73.2,39.8,1,FALSE,1,5,5.1,new jersey,NJ,new jersey
12,-74.5,40.14297,2,FALSE,1,5,5.1,new jersey,NJ,new jersey
13,-73.7,38.8,1,FALSE,1,6,6.1,deleware,DE,deleware
14,-75.6,39.1451,2,FALSE,1,6,6.1,deleware,DE,deleware
15,-74.2,37.8,1,FALSE,1,7,7.1,maryland,MD,maryland
16,-77.26829,39.5,2,FALSE,1,7,7.1,maryland,MD,maryland
