count|HMS_PIID|HMS_POID|ORG_NAME|claim_type
842|PI7V98NJT2|NULL||1500
193|PI7V98NJT2|PO1MFPK0|HEMATOLOGY ONCOLOGY CONSULTNTS|1500
72|PI7V98NJT2|PO86H7J1|TRI VALLEY UROLOGY MEDICAL GROUP|1500
47|PI7V98NJT2|POFHK800|TEMECULA VALLEY ENDOSCOPY CENTER|1500
43|PI7V98NJT2|PO1RUK88|ORAL CANCER PREVENTION INTERNATIONAL INC|1500
27|PI7V98NJT2|PO38PDJ3|ALTOONA REGIONAL HEALTH SYSTEM HOSPITAL|1500
22|PI7V98NJT2|POK9V7D2|FALLBROOK RANCHO SURGERY|1500
21|PI7V98NJT2|POKFM077|HEALTH SCAN IMAGING TRULY OPEN MRI OPEN MRI OF LOMA LINDA|1500
21|PI7V98NJT2|POFKXBQ4|TEMECULA VALLEY DIGESTIVE DISEASE CONSULTANTS|1500
20|PI7V98NJT2|PO1UPKD6|WEST PACIFIC MEDICAL LABORATORY|1500
20|PI7V98NJT2|PO160Q68|INLAND PSYCHIATRIC MEDICAL GROUP INC|1500
18|PI7V98NJT2|POTNWAF8|CDX LABORATORIES INC|1500
14|PI7V98NJT2|PO5PFJM7|WEST PACIFIC MEDICAL LABORATORY|1500
13|PI7V98NJT2|POQWVVJ9|TEMECULA VALLEY CARDIOLOGY|1500
10|PI7V98NJT2|PO66KTW9|LABORATORY CORP OF AMERICA|1500
7|PI7V98NJT2|PO0KXNA4|LABORATORY CORPORATION OF AMERICA|1500
7|PI7V98NJT2|PO2BC6N2|SPECIALTY LABORATORIES INC|1500
7|PI7V98NJT2|PO0DQNN3|GOLDEN TRIANGLE SURGICENTER|1500
7|PI7V98NJT2|PO4A92N0|MEDICAL LABORATORY SERVICES MEDICAL GROUP INC|1500
6|PI7V98NJT2|POQ7D1W3|RANCHO SPRINGS MEDICAL CENTER|1500
5|PI7V98NJT2|PO46J1A3|MN CLINICAL LAB INC|1500
5|PI7V98NJT2|PO07H3T7|IMAGING HEALTHCARE SPECIALISTS|1500
4|PI7V98NJT2|POMW1BG0|MYRIAD GENETIC LABORATORIES INC|1500
4|PI7V98NJT2|PO9761D1|QUEST DIAGNOSTICS|1500
4|PI7V98NJT2|POXQ7NQ8|PROMETHEUS LABORATORIES INC|1500
4|PI7V98NJT2|PO371QP0|UCSD MEDICAL CENTER|1500
3|PI7V98NJT2|PODAV4P6|TEMECULA CENTER FOR CARDIAC CARE|1500
3|PI7V98NJT2|POT0R4T5|LABORATORY CORPORATION OF AMERICA|1500
3|PI7V98NJT2|PO6EDTJ5|LEHIGH VALLEY HOSPITAL|1500
2|PI7V98NJT2|POUTF980|CLARIENT DIAGNOSTIC SERVICES INC|1500
2|PI7V98NJT2|POWXG6E0|ROBERT WOLFE & WACHTEL|1500
2|PI7V98NJT2|PO1NDHD2|LOMA LINDA UNIVERSITY MEDICAL CENTER|1500
2|PI7V98NJT2|POEB27V9|TEMECULA VALLEY CARDIOLOGY MEDICAL GROUP INC|1500
2|PI7V98NJT2|PO206JU3|LOMA LINDA UNIVERSITY MEDICAL CENTER|1500
2|PI7V98NJT2|PONFBD69|SUN CITY MEDICAL GROUP, INC|1500
