VAR1	COUNT	cq
PI0000UM93:PI00GW7DA0	2	0
PI0000UM93:PI0TRE4C63	9	8
PI0000UM93:PI27603C38	2	0
PI0000UM93:PI3MUHMXN3	3	4
PI0000UM93:PI5B5647H0	2	0
PI0000UM93:PI5E123MA5	6	7
PI0000UM93:PI5FFA2HD0	2	0
PI0000UM93:PI5RAJJXB5	3	4
PI0000UM93:PI730H52D3	2	0
PI0000UM93:PI73C8BNJ6	4	6
PI0000UM93:PI7DDTC996	4	6
PI0000UM93:PI84RW1X25	2	0
PI0000UM93:PI8721RV79	2	0
PI0000UM93:PI8KDCNEQ4	4	6
PI0000UM93:PI8P9G90N5	4	6
PI0000UM93:PIC6B2J9B6	2	0
PI0000UM93:PIC9VAUQ49	4	6
PI0000UM93:PICAT28GR8	3	4
PI0000UM93:PIEVVH3DW6	3	4
PI0000UM93:PIFN9ECXK8	3	4
PI0000UM93:PIH9M05X18	2	0
PI0000UM93:PIJP5VB546	6	7
PI0000UM93:PIKJ5Q75N6	4	6
PI0000UM93:PIMD9M2498	3	4
PI0000UM93:PIMND72ED1	3	4
PI0000UM93:PIMUQ5JXG7	2	0
PI0000UM93:PINMATR4V4	4	6
PI0000UM93:PINTE97DH4	2	0
PI0000UM93:PIP1HNWT82	2	0
PI0000UM93:PIQ25J3DB1	4	6
PI0000UM93:PIQ5ARK7K0	3	4
PI0000UM93:PIQDCJJGM2	2	0
PI0000UM93:PIQXPG35A7	2	0
PI0000UM93:PIRR515MX8	4	6
PI0000UM93:PIRR64FAH0	2	0
PI0000UM93:PIRUX5HFK1	3	4
PI0000UM93:PIT35695X7	3	4
PI0000UM93:PIT5RRKNR6	2	0
PI0000UM93:PIT603JQU5	2	0
PI0000UM93:PITWCPHAJ6	4	6
PI0000UM93:PIU347VQC2	3	4
PI0000UM93:PIW1X3C5C4	2	0
PI0000UM93:PIW2KCJ4R5	2	0
PI0000UM93:PIWD0F8E35	2	0
PI0000UM93:PIWJ6BDHJ4	2	0
PI0000UM93:PIX8B9QCC5	2	0
PI0000UM93:PIX91WCRH0	3	4
PI0000UM93:PIXXR27VP6	3	4
PI00029B64:PI1QDE3B17	3	4
PI00029B64:PI2RH79159	2	0
PI00029B64:PI8ATK8UM3	2	0
PI00029B64:PI9EQ0QJW7	2	0
